wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai
[questions_1000_seed42]:   0%|          | 0/1000 [00:00<?, ?it/s]2026-05-07 13:22:38,504 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:38,793 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:38,795 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:38,854 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:38,972 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:39,089 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:39,207 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:39,325 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:39,588 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:39,622 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:39,710 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:39,749 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:40,187 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:40,280 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:40,286 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:40,305 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,160 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,175 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,200 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:41,241 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,318 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:22:41,375 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,456 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,821 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:41,862 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:42,078 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:42,441 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:42,593 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:43,293 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:44,408 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:22:59,902 INFO httpx: HTTP Request: POST http://localhost:8003/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:00,008 INFO httpx: HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:00,334 INFO httpx: HTTP Request: POST http://localhost:8001/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:00,555 INFO httpx: HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:00,714 INFO httpx: HTTP Request: POST http://localhost:8001/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:00,901 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,054 INFO httpx: HTTP Request: POST http://localhost:8002/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,180 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,376 INFO httpx: HTTP Request: POST http://localhost:8001/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,382 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,414 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,945 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,956 INFO httpx: HTTP Request: POST http://localhost:8003/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:01,972 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,126 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,141 INFO httpx: HTTP Request: POST http://localhost:8003/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,554 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,611 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,620 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,879 INFO httpx: HTTP Request: POST http://localhost:8001/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:02,974 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,157 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,250 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,382 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,560 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,615 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:23:03,657 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-07 13:23:03,736 INFO httpx: HTTP Request: POST http://node408:8003/retrieve "HTTP/1.1 200 OK"
2026-05-07 13:23:03,749 INFO httpx: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
