START hotpotqa 2026-05-09T00:37:17+02:00
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 00:37:51,892 INFO root | progress: 5/1000 (31.2s, 6.2s/q)
2026-05-09 00:38:08,311 INFO root | progress: 10/1000 (47.6s, 4.8s/q)
2026-05-09 00:38:23,914 INFO root | progress: 15/1000 (63.2s, 4.2s/q)
2026-05-09 00:38:48,452 INFO root | progress: 20/1000 (87.8s, 4.4s/q)
2026-05-09 00:39:06,703 INFO root | progress: 25/1000 (106.0s, 4.2s/q)
2026-05-09 00:39:29,456 INFO root | progress: 30/1000 (128.8s, 4.3s/q)
2026-05-09 00:39:46,959 INFO root | progress: 35/1000 (146.3s, 4.2s/q)
2026-05-09 00:40:08,471 INFO root | progress: 40/1000 (167.8s, 4.2s/q)
2026-05-09 00:40:36,226 INFO root | progress: 45/1000 (195.5s, 4.3s/q)
2026-05-09 00:40:40,936 INFO root | progress: 50/1000 (200.2s, 4.0s/q)
2026-05-09 00:41:07,603 INFO root | progress: 55/1000 (226.9s, 4.1s/q)
2026-05-09 00:41:24,012 INFO root | progress: 60/1000 (243.3s, 4.1s/q)
2026-05-09 00:41:42,890 INFO root | progress: 65/1000 (262.2s, 4.0s/q)
2026-05-09 00:41:52,647 INFO root | progress: 70/1000 (271.9s, 3.9s/q)
2026-05-09 00:42:17,227 INFO root | progress: 75/1000 (296.5s, 4.0s/q)
2026-05-09 00:42:32,668 INFO root | progress: 80/1000 (312.0s, 3.9s/q)
2026-05-09 00:42:48,488 INFO root | progress: 85/1000 (327.8s, 3.9s/q)
2026-05-09 00:43:06,951 INFO root | progress: 90/1000 (346.3s, 3.8s/q)
2026-05-09 00:43:26,664 INFO root | progress: 95/1000 (366.0s, 3.9s/q)
2026-05-09 00:43:43,754 INFO root | progress: 100/1000 (383.1s, 3.8s/q)
2026-05-09 00:44:01,189 INFO root | progress: 105/1000 (400.5s, 3.8s/q)
2026-05-09 00:44:22,779 INFO root | progress: 110/1000 (422.1s, 3.8s/q)
2026-05-09 00:44:34,587 INFO root | progress: 115/1000 (433.9s, 3.8s/q)
2026-05-09 00:44:54,721 INFO root | progress: 120/1000 (454.0s, 3.8s/q)
