START musique 2026-05-08T23:33:33+02:00
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-08 23:34:08,350 INFO root | progress: 5/1000 (31.4s, 6.3s/q)
2026-05-08 23:34:26,031 INFO root | progress: 10/1000 (49.1s, 4.9s/q)
2026-05-08 23:34:42,536 INFO root | progress: 15/1000 (65.6s, 4.4s/q)
2026-05-08 23:34:59,300 INFO root | progress: 20/1000 (82.4s, 4.1s/q)
2026-05-08 23:35:18,652 INFO root | progress: 25/1000 (101.7s, 4.1s/q)
2026-05-08 23:35:40,996 INFO root | progress: 30/1000 (124.1s, 4.1s/q)
2026-05-08 23:35:51,946 INFO root | progress: 35/1000 (135.0s, 3.9s/q)
2026-05-08 23:36:11,301 INFO root | progress: 40/1000 (154.4s, 3.9s/q)
2026-05-08 23:36:29,775 INFO root | progress: 45/1000 (172.9s, 3.8s/q)
2026-05-08 23:36:54,248 INFO root | progress: 50/1000 (197.3s, 3.9s/q)
2026-05-08 23:37:02,392 INFO root | progress: 55/1000 (205.5s, 3.7s/q)
2026-05-08 23:37:29,139 INFO root | progress: 60/1000 (232.2s, 3.9s/q)
2026-05-08 23:37:51,178 INFO root | progress: 65/1000 (254.3s, 3.9s/q)
2026-05-08 23:38:04,973 INFO root | progress: 70/1000 (268.1s, 3.8s/q)
2026-05-08 23:38:28,362 INFO root | progress: 75/1000 (291.5s, 3.9s/q)
2026-05-08 23:38:48,896 INFO root | progress: 80/1000 (312.0s, 3.9s/q)
2026-05-08 23:39:00,120 INFO root | progress: 85/1000 (323.2s, 3.8s/q)
2026-05-08 23:39:26,932 INFO root | progress: 90/1000 (350.0s, 3.9s/q)
2026-05-08 23:39:44,930 INFO root | progress: 95/1000 (368.0s, 3.9s/q)
2026-05-08 23:39:59,583 INFO root | progress: 100/1000 (382.7s, 3.8s/q)
2026/05/08 23:40:11 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-08 23:40:26,581 INFO root | progress: 105/1000 (409.7s, 3.9s/q)
2026-05-08 23:40:40,656 INFO root | progress: 110/1000 (423.8s, 3.9s/q)
2026-05-08 23:41:06,121 INFO root | progress: 115/1000 (449.2s, 3.9s/q)
2026-05-08 23:41:24,150 INFO root | progress: 120/1000 (467.2s, 3.9s/q)
2026-05-08 23:41:38,834 INFO root | progress: 125/1000 (481.9s, 3.9s/q)
2026-05-08 23:41:58,698 INFO root | progress: 130/1000 (501.8s, 3.9s/q)
2026-05-08 23:42:11,760 INFO root | progress: 135/1000 (514.9s, 3.8s/q)
2026-05-08 23:42:29,710 INFO root | progress: 140/1000 (532.8s, 3.8s/q)
2026-05-08 23:42:48,410 INFO root | progress: 145/1000 (551.5s, 3.8s/q)
2026-05-08 23:43:06,738 INFO root | progress: 150/1000 (569.8s, 3.8s/q)
2026-05-08 23:43:25,645 INFO root | progress: 155/1000 (588.7s, 3.8s/q)
2026-05-08 23:43:45,916 INFO root | progress: 160/1000 (609.0s, 3.8s/q)
2026-05-08 23:44:08,170 INFO root | progress: 165/1000 (631.3s, 3.8s/q)
2026-05-08 23:44:22,465 INFO root | progress: 170/1000 (645.6s, 3.8s/q)
2026-05-08 23:44:45,869 INFO root | progress: 175/1000 (669.0s, 3.8s/q)
2026-05-08 23:45:10,060 INFO root | progress: 180/1000 (693.2s, 3.9s/q)
2026-05-08 23:45:26,776 INFO root | progress: 185/1000 (709.9s, 3.8s/q)
2026-05-08 23:45:43,708 INFO root | progress: 190/1000 (726.8s, 3.8s/q)
2026-05-08 23:46:00,463 INFO root | progress: 195/1000 (743.6s, 3.8s/q)
2026-05-08 23:46:20,977 INFO root | progress: 200/1000 (764.1s, 3.8s/q)
2026-05-08 23:46:42,627 INFO root | progress: 205/1000 (785.7s, 3.8s/q)
2026-05-08 23:46:58,162 INFO root | progress: 210/1000 (801.3s, 3.8s/q)
2026-05-08 23:47:24,310 INFO root | progress: 215/1000 (827.4s, 3.8s/q)
2026-05-08 23:47:45,241 INFO root | progress: 220/1000 (848.3s, 3.9s/q)
2026-05-08 23:48:04,803 INFO root | progress: 225/1000 (867.9s, 3.9s/q)
2026-05-08 23:48:21,487 INFO root | progress: 230/1000 (884.6s, 3.8s/q)
2026-05-08 23:48:40,955 INFO root | progress: 235/1000 (904.1s, 3.8s/q)
2026-05-08 23:48:57,755 INFO root | progress: 240/1000 (920.9s, 3.8s/q)
2026-05-08 23:49:19,892 INFO root | progress: 245/1000 (943.0s, 3.8s/q)
2026-05-08 23:49:38,317 INFO root | progress: 250/1000 (961.4s, 3.8s/q)
2026-05-08 23:49:57,126 INFO root | progress: 255/1000 (980.2s, 3.8s/q)
2026-05-08 23:50:15,806 INFO root | progress: 260/1000 (998.9s, 3.8s/q)
2026-05-08 23:50:31,943 INFO root | progress: 265/1000 (1015.0s, 3.8s/q)
2026-05-08 23:50:58,077 INFO root | progress: 270/1000 (1041.2s, 3.9s/q)
2026-05-08 23:51:10,146 INFO root | progress: 275/1000 (1053.2s, 3.8s/q)
2026-05-08 23:51:29,756 INFO root | progress: 280/1000 (1072.9s, 3.8s/q)
2026-05-08 23:51:47,884 INFO root | progress: 285/1000 (1091.0s, 3.8s/q)
2026-05-08 23:52:05,955 INFO root | progress: 290/1000 (1109.1s, 3.8s/q)
2026-05-08 23:52:23,924 INFO root | progress: 295/1000 (1127.0s, 3.8s/q)
2026-05-08 23:52:45,020 INFO root | progress: 300/1000 (1148.1s, 3.8s/q)
2026-05-08 23:52:54,181 INFO root | progress: 305/1000 (1157.3s, 3.8s/q)
2026-05-08 23:53:21,171 INFO root | progress: 310/1000 (1184.3s, 3.8s/q)
2026-05-08 23:53:42,436 INFO root | progress: 315/1000 (1205.5s, 3.8s/q)
2026-05-08 23:53:55,530 INFO root | progress: 320/1000 (1218.6s, 3.8s/q)
2026-05-08 23:54:20,297 INFO root | progress: 325/1000 (1243.4s, 3.8s/q)
2026-05-08 23:54:35,506 INFO root | progress: 330/1000 (1258.6s, 3.8s/q)
2026-05-08 23:54:55,072 INFO root | progress: 335/1000 (1278.2s, 3.8s/q)
2026-05-08 23:55:10,568 INFO root | progress: 340/1000 (1293.7s, 3.8s/q)
2026-05-08 23:55:33,123 INFO root | progress: 345/1000 (1316.2s, 3.8s/q)
2026-05-08 23:55:49,671 INFO root | progress: 350/1000 (1332.8s, 3.8s/q)
2026-05-08 23:56:08,569 INFO root | progress: 355/1000 (1351.7s, 3.8s/q)
2026-05-08 23:56:24,451 INFO root | progress: 360/1000 (1367.5s, 3.8s/q)
2026-05-08 23:56:49,234 INFO root | progress: 365/1000 (1392.3s, 3.8s/q)
2026-05-08 23:57:06,873 INFO root | progress: 370/1000 (1410.0s, 3.8s/q)
2026-05-08 23:57:24,946 INFO root | progress: 375/1000 (1428.0s, 3.8s/q)
2026-05-08 23:57:42,105 INFO root | progress: 380/1000 (1445.2s, 3.8s/q)
2026-05-08 23:58:07,827 INFO root | progress: 385/1000 (1470.9s, 3.8s/q)
2026-05-08 23:58:21,249 INFO root | progress: 390/1000 (1484.3s, 3.8s/q)
2026-05-08 23:58:44,440 INFO root | progress: 395/1000 (1507.5s, 3.8s/q)
2026-05-08 23:59:06,103 INFO root | progress: 400/1000 (1529.2s, 3.8s/q)
2026-05-08 23:59:24,558 INFO root | progress: 405/1000 (1547.7s, 3.8s/q)
2026-05-08 23:59:44,640 INFO root | progress: 410/1000 (1567.7s, 3.8s/q)
2026-05-09 00:00:01,934 INFO root | progress: 415/1000 (1585.0s, 3.8s/q)
2026-05-09 00:00:18,691 INFO root | progress: 420/1000 (1601.8s, 3.8s/q)
2026-05-09 00:00:36,895 INFO root | progress: 425/1000 (1620.0s, 3.8s/q)
2026-05-09 00:00:58,008 INFO root | progress: 430/1000 (1641.1s, 3.8s/q)
2026-05-09 00:01:17,413 INFO root | progress: 435/1000 (1660.5s, 3.8s/q)
2026-05-09 00:01:39,349 INFO root | progress: 440/1000 (1682.4s, 3.8s/q)
2026-05-09 00:01:56,406 INFO root | progress: 445/1000 (1699.5s, 3.8s/q)
2026-05-09 00:02:14,138 INFO root | progress: 450/1000 (1717.2s, 3.8s/q)
2026-05-09 00:02:32,483 INFO root | progress: 455/1000 (1735.6s, 3.8s/q)
2026-05-09 00:02:54,491 INFO root | progress: 460/1000 (1757.6s, 3.8s/q)
2026-05-09 00:03:08,396 INFO root | progress: 465/1000 (1771.5s, 3.8s/q)
2026-05-09 00:03:30,702 INFO root | progress: 470/1000 (1793.8s, 3.8s/q)
2026-05-09 00:03:46,882 INFO root | progress: 475/1000 (1810.0s, 3.8s/q)
2026/05/09 00:03:49 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-09 00:04:09,550 INFO root | progress: 480/1000 (1832.6s, 3.8s/q)
2026-05-09 00:04:22,880 INFO root | progress: 485/1000 (1846.0s, 3.8s/q)
2026-05-09 00:04:44,957 INFO root | progress: 490/1000 (1868.1s, 3.8s/q)
2026-05-09 00:05:06,705 INFO root | progress: 495/1000 (1889.8s, 3.8s/q)
2026-05-09 00:05:25,405 INFO root | progress: 500/1000 (1908.5s, 3.8s/q)
2026-05-09 00:05:37,200 INFO root | progress: 505/1000 (1920.3s, 3.8s/q)
2026-05-09 00:05:59,862 INFO root | progress: 510/1000 (1943.0s, 3.8s/q)
2026-05-09 00:06:16,051 INFO root | progress: 515/1000 (1959.1s, 3.8s/q)
2026-05-09 00:06:37,976 INFO root | progress: 520/1000 (1981.1s, 3.8s/q)
2026-05-09 00:06:57,290 INFO root | progress: 525/1000 (2000.4s, 3.8s/q)
2026-05-09 00:07:12,915 INFO root | progress: 530/1000 (2016.0s, 3.8s/q)
2026-05-09 00:07:31,164 INFO root | progress: 535/1000 (2034.3s, 3.8s/q)
2026-05-09 00:07:47,335 INFO root | progress: 540/1000 (2050.4s, 3.8s/q)
2026-05-09 00:08:12,900 INFO root | progress: 545/1000 (2076.0s, 3.8s/q)
2026-05-09 00:08:24,099 INFO root | progress: 550/1000 (2087.2s, 3.8s/q)
2026-05-09 00:08:44,354 INFO root | progress: 555/1000 (2107.5s, 3.8s/q)
2026-05-09 00:09:06,172 INFO root | progress: 560/1000 (2129.3s, 3.8s/q)
2026-05-09 00:09:16,722 INFO root | progress: 565/1000 (2139.8s, 3.8s/q)
2026-05-09 00:09:41,813 INFO root | progress: 570/1000 (2164.9s, 3.8s/q)
2026/05/09 00:09:41 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-09 00:10:00,878 INFO root | progress: 575/1000 (2184.0s, 3.8s/q)
2026-05-09 00:10:23,075 INFO root | progress: 580/1000 (2206.2s, 3.8s/q)
2026-05-09 00:10:44,829 INFO root | progress: 585/1000 (2227.9s, 3.8s/q)
2026-05-09 00:11:00,297 INFO root | progress: 590/1000 (2243.4s, 3.8s/q)
2026-05-09 00:11:16,036 INFO root | progress: 595/1000 (2259.1s, 3.8s/q)
2026-05-09 00:11:40,730 INFO root | progress: 600/1000 (2283.8s, 3.8s/q)
2026-05-09 00:11:58,372 INFO root | progress: 605/1000 (2301.5s, 3.8s/q)
2026-05-09 00:12:16,541 INFO root | progress: 610/1000 (2319.6s, 3.8s/q)
