2026-04-30 13:05:20,101 INFO root | progress: 5/100 (49.4s, 9.9s/q)
2026-04-30 13:05:49,699 INFO root | progress: 10/100 (79.0s, 7.9s/q)
2026-04-30 13:06:17,913 INFO root | progress: 15/100 (107.2s, 7.1s/q)
2026-04-30 13:06:41,551 INFO root | progress: 20/100 (130.8s, 6.5s/q)
2026-04-30 13:06:59,369 INFO root | progress: 25/100 (148.7s, 5.9s/q)
2026-04-30 13:07:36,921 INFO root | progress: 30/100 (186.2s, 6.2s/q)
2026-04-30 13:08:13,666 INFO root | progress: 35/100 (223.0s, 6.4s/q)
2026-04-30 13:08:25,606 INFO root | progress: 40/100 (234.9s, 5.9s/q)
2026-04-30 13:09:04,365 INFO root | progress: 45/100 (273.7s, 6.1s/q)
2026-04-30 13:09:40,568 INFO root | progress: 50/100 (309.9s, 6.2s/q)
2026-04-30 13:10:39,859 INFO root | progress: 55/100 (369.1s, 6.7s/q)
2026-04-30 13:11:14,104 INFO root | progress: 60/100 (403.4s, 6.7s/q)
2026-04-30 13:12:22,450 INFO root | progress: 65/100 (471.7s, 7.3s/q)
2026-04-30 13:13:24,601 INFO root | progress: 70/100 (533.9s, 7.6s/q)
2026-04-30 13:14:14,119 INFO root | progress: 75/100 (583.4s, 7.8s/q)
2026-04-30 13:14:49,586 INFO root | progress: 80/100 (618.9s, 7.7s/q)
2026-04-30 13:15:34,844 INFO root | progress: 85/100 (664.1s, 7.8s/q)
2026/04/30 13:16:18 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.6)  if the reason for truncation is repetition.
2026-04-30 13:16:54,091 INFO root | progress: 90/100 (743.4s, 8.3s/q)
2026-04-30 13:17:32,776 INFO root | progress: 95/100 (782.1s, 8.2s/q)
2026-04-30 13:18:34,675 INFO root | progress: 100/100 (844.0s, 8.4s/q)
2026-04-30 13:18:34,675 INFO root | done: 100 predictions written to results/sage_v1_qwen3_8b_think_4omini_stratified100/predictions.jsonl
