2026-04-30 20:30:34,018 INFO root | progress: 5/381 (84.3s, 16.9s/q)
2026-04-30 20:31:28,754 INFO root | progress: 10/381 (139.0s, 13.9s/q)
2026-04-30 20:31:40,816 INFO root | progress: 15/381 (151.1s, 10.1s/q)
2026-04-30 20:32:21,728 INFO root | progress: 20/381 (192.0s, 9.6s/q)
2026-04-30 20:32:51,090 INFO root | progress: 25/381 (221.3s, 8.9s/q)
2026-04-30 20:33:24,419 INFO root | progress: 30/381 (254.7s, 8.5s/q)
2026-04-30 20:33:52,392 INFO root | progress: 35/381 (282.6s, 8.1s/q)
2026-04-30 20:34:48,602 INFO root | progress: 40/381 (338.9s, 8.5s/q)
2026-04-30 20:34:58,104 INFO root | progress: 45/381 (348.4s, 7.7s/q)
2026-04-30 20:35:20,071 INFO root | progress: 50/381 (370.3s, 7.4s/q)
2026-04-30 20:35:57,014 INFO root | progress: 55/381 (407.3s, 7.4s/q)
2026-04-30 20:36:40,521 INFO root | progress: 60/381 (450.8s, 7.5s/q)
2026-04-30 20:37:05,877 INFO root | progress: 65/381 (476.1s, 7.3s/q)
2026-04-30 20:37:35,688 INFO root | progress: 70/381 (505.9s, 7.2s/q)
2026-04-30 20:38:04,994 INFO root | progress: 75/381 (535.2s, 7.1s/q)
2026-04-30 20:38:33,845 INFO root | progress: 80/381 (564.1s, 7.1s/q)
2026-04-30 20:39:13,515 INFO root | progress: 85/381 (603.8s, 7.1s/q)
2026-04-30 20:39:26,205 INFO root | progress: 90/381 (616.5s, 6.8s/q)
2026-04-30 20:39:53,204 INFO root | progress: 95/381 (643.5s, 6.8s/q)
2026-04-30 20:40:52,049 INFO root | progress: 100/381 (702.3s, 7.0s/q)
2026-04-30 20:41:02,383 INFO root | progress: 105/381 (712.6s, 6.8s/q)
2026-04-30 20:41:55,161 INFO root | progress: 110/381 (765.4s, 7.0s/q)
2026-04-30 20:42:06,050 INFO root | progress: 115/381 (776.3s, 6.8s/q)
2026-04-30 20:42:51,412 INFO root | progress: 120/381 (821.7s, 6.8s/q)
2026-04-30 20:43:24,784 INFO root | progress: 125/381 (855.0s, 6.8s/q)
2026-04-30 20:43:59,940 INFO root | progress: 130/381 (890.2s, 6.8s/q)
2026/04/30 20:44:36 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.4)  if the reason for truncation is repetition.
2026-04-30 20:44:37,021 INFO root | progress: 135/381 (927.3s, 6.9s/q)
2026-04-30 20:45:16,184 INFO root | progress: 140/381 (966.4s, 6.9s/q)
2026-04-30 20:45:31,255 INFO root | progress: 145/381 (981.5s, 6.8s/q)
2026/04/30 20:45:52 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.7)  if the reason for truncation is repetition.
2026-04-30 20:46:18,211 INFO root | progress: 150/381 (1028.5s, 6.9s/q)
2026-04-30 20:46:44,300 INFO root | progress: 155/381 (1054.6s, 6.8s/q)
2026-04-30 20:47:04,328 INFO root | progress: 160/381 (1074.6s, 6.7s/q)
2026-04-30 20:47:50,819 INFO root | progress: 165/381 (1121.1s, 6.8s/q)
2026-04-30 20:48:22,023 INFO root | progress: 170/381 (1152.3s, 6.8s/q)
2026-04-30 20:48:47,552 INFO root | progress: 175/381 (1177.8s, 6.7s/q)
2026-04-30 20:49:14,513 INFO root | progress: 180/381 (1204.8s, 6.7s/q)
2026-04-30 20:49:48,118 INFO root | progress: 185/381 (1238.4s, 6.7s/q)
2026-04-30 20:50:14,142 INFO root | progress: 190/381 (1264.4s, 6.7s/q)
2026-04-30 20:50:38,430 INFO root | progress: 195/381 (1288.7s, 6.6s/q)
2026-04-30 20:51:17,664 INFO root | progress: 200/381 (1327.9s, 6.6s/q)
2026-04-30 20:51:48,287 INFO root | progress: 205/381 (1358.5s, 6.6s/q)
2026-04-30 20:52:10,538 INFO root | progress: 210/381 (1380.8s, 6.6s/q)
2026-04-30 20:52:34,870 INFO root | progress: 215/381 (1405.1s, 6.5s/q)
2026-04-30 20:53:09,121 INFO root | progress: 220/381 (1439.4s, 6.5s/q)
2026-04-30 20:53:44,944 INFO root | progress: 225/381 (1475.2s, 6.6s/q)
2026-04-30 20:54:11,574 INFO root | progress: 230/381 (1501.8s, 6.5s/q)
2026-04-30 20:54:26,905 INFO root | progress: 235/381 (1517.2s, 6.5s/q)
2026-04-30 20:55:37,535 INFO root | progress: 240/381 (1587.8s, 6.6s/q)
2026-04-30 20:55:53,000 INFO root | progress: 245/381 (1603.3s, 6.5s/q)
2026-04-30 20:56:19,733 INFO root | progress: 250/381 (1630.0s, 6.5s/q)
2026-04-30 20:57:00,036 INFO root | progress: 255/381 (1670.3s, 6.6s/q)
2026-04-30 20:57:41,945 INFO root | progress: 260/381 (1712.2s, 6.6s/q)
2026-04-30 20:58:13,084 INFO root | progress: 265/381 (1743.3s, 6.6s/q)
2026-04-30 20:58:34,130 INFO root | progress: 270/381 (1764.4s, 6.5s/q)
2026-04-30 20:59:23,188 INFO root | progress: 275/381 (1813.4s, 6.6s/q)
2026-04-30 20:59:38,772 INFO root | progress: 280/381 (1829.0s, 6.5s/q)
2026-04-30 21:00:25,266 INFO root | progress: 285/381 (1875.5s, 6.6s/q)
2026-04-30 21:00:45,503 INFO root | progress: 290/381 (1895.8s, 6.5s/q)
2026-04-30 21:01:29,958 INFO root | progress: 295/381 (1940.2s, 6.6s/q)
2026-04-30 21:01:57,667 INFO root | progress: 300/381 (1967.9s, 6.6s/q)
2026-04-30 21:02:29,300 INFO root | progress: 305/381 (1999.6s, 6.6s/q)
2026-04-30 21:02:42,277 INFO root | progress: 310/381 (2012.5s, 6.5s/q)
2026-04-30 21:03:09,879 INFO root | progress: 315/381 (2040.1s, 6.5s/q)
2026-04-30 21:03:34,893 INFO root | progress: 320/381 (2065.1s, 6.5s/q)
2026-04-30 21:03:54,886 INFO root | progress: 325/381 (2085.1s, 6.4s/q)
2026-04-30 21:04:10,918 INFO root | progress: 330/381 (2101.2s, 6.4s/q)
2026-04-30 21:05:01,805 INFO root | progress: 335/381 (2152.1s, 6.4s/q)
2026-04-30 21:05:43,807 INFO root | progress: 340/381 (2194.1s, 6.5s/q)
2026-04-30 21:05:59,804 INFO root | progress: 345/381 (2210.1s, 6.4s/q)
2026-04-30 21:06:34,430 INFO root | progress: 350/381 (2244.7s, 6.4s/q)
2026-04-30 21:06:57,227 INFO root | progress: 355/381 (2267.5s, 6.4s/q)
2026-04-30 21:07:19,328 INFO root | progress: 360/381 (2289.6s, 6.4s/q)
2026-04-30 21:08:01,219 INFO root | progress: 365/381 (2331.5s, 6.4s/q)
2026-04-30 21:08:27,303 INFO root | progress: 370/381 (2357.6s, 6.4s/q)
2026-04-30 21:08:41,273 INFO root | progress: 375/381 (2371.5s, 6.3s/q)
2026-04-30 21:10:48,833 INFO root | progress: 380/381 (2499.1s, 6.6s/q)
