2026-04-30 18:44:50,521 INFO root | progress: 5/1000 (111.2s, 22.2s/q)
2026-04-30 18:44:54,840 INFO root | progress: 10/1000 (115.5s, 11.6s/q)
2026-04-30 18:45:10,524 INFO root | progress: 15/1000 (131.2s, 8.7s/q)
2026-04-30 18:46:06,091 INFO root | progress: 20/1000 (186.8s, 9.3s/q)
2026-04-30 18:46:22,492 INFO root | progress: 25/1000 (203.2s, 8.1s/q)
2026-04-30 18:46:39,111 INFO root | progress: 30/1000 (219.8s, 7.3s/q)
2026-04-30 18:47:50,934 INFO root | progress: 35/1000 (291.6s, 8.3s/q)
2026-04-30 18:48:00,149 INFO root | progress: 40/1000 (300.8s, 7.5s/q)
2026-04-30 18:48:08,474 INFO root | progress: 45/1000 (309.2s, 6.9s/q)
2026-04-30 18:48:54,538 INFO root | progress: 50/1000 (355.2s, 7.1s/q)
2026-04-30 18:49:23,825 INFO root | progress: 55/1000 (384.5s, 7.0s/q)
2026-04-30 18:49:41,142 INFO root | progress: 60/1000 (401.8s, 6.7s/q)
2026-04-30 18:49:59,357 INFO root | progress: 65/1000 (420.0s, 6.5s/q)
2026-04-30 18:50:42,775 INFO root | progress: 70/1000 (463.5s, 6.6s/q)
2026-04-30 18:51:06,021 INFO root | progress: 75/1000 (486.7s, 6.5s/q)
2026-04-30 18:51:45,652 INFO root | progress: 80/1000 (526.3s, 6.6s/q)
2026-04-30 18:52:27,539 INFO root | progress: 85/1000 (568.2s, 6.7s/q)
2026-04-30 18:52:35,319 INFO root | progress: 90/1000 (576.0s, 6.4s/q)
2026-04-30 18:53:45,534 INFO root | progress: 95/1000 (646.2s, 6.8s/q)
2026-04-30 18:54:33,231 INFO root | progress: 100/1000 (693.9s, 6.9s/q)
2026-04-30 18:54:50,773 INFO root | progress: 105/1000 (711.5s, 6.8s/q)
2026-04-30 18:55:08,117 INFO root | progress: 110/1000 (728.8s, 6.6s/q)
2026-04-30 18:55:30,089 INFO root | progress: 115/1000 (750.8s, 6.5s/q)
2026-04-30 18:56:12,336 INFO root | progress: 120/1000 (793.0s, 6.6s/q)
2026-04-30 18:56:23,935 INFO root | progress: 125/1000 (804.6s, 6.4s/q)
2026-04-30 18:57:01,399 INFO root | progress: 130/1000 (842.1s, 6.5s/q)
2026/04/30 18:57:37 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.7)  if the reason for truncation is repetition.
2026-04-30 18:57:37,664 INFO root | progress: 135/1000 (878.3s, 6.5s/q)
2026-04-30 18:58:34,483 INFO root | progress: 140/1000 (935.2s, 6.7s/q)
2026-04-30 18:58:45,191 INFO root | progress: 145/1000 (945.9s, 6.5s/q)
2026-04-30 18:59:34,513 INFO root | progress: 150/1000 (995.2s, 6.6s/q)
2026-04-30 18:59:45,279 INFO root | progress: 155/1000 (1006.0s, 6.5s/q)
2026-04-30 18:59:54,067 INFO root | progress: 160/1000 (1014.8s, 6.3s/q)
2026-04-30 19:00:17,260 INFO root | progress: 165/1000 (1037.9s, 6.3s/q)
2026-04-30 19:01:15,746 INFO root | progress: 170/1000 (1096.4s, 6.4s/q)
2026-04-30 19:01:58,167 INFO root | progress: 175/1000 (1138.9s, 6.5s/q)
2026-04-30 19:02:10,777 INFO root | progress: 180/1000 (1151.5s, 6.4s/q)
2026-04-30 19:02:34,446 INFO root | progress: 185/1000 (1175.1s, 6.4s/q)
2026-04-30 19:02:48,012 INFO root | progress: 190/1000 (1188.7s, 6.3s/q)
2026-04-30 19:03:35,366 INFO root | progress: 195/1000 (1236.1s, 6.3s/q)
2026-04-30 19:03:43,521 INFO root | progress: 200/1000 (1244.2s, 6.2s/q)
2026-04-30 19:04:40,359 INFO root | progress: 205/1000 (1301.0s, 6.3s/q)
2026-04-30 19:04:46,845 INFO root | progress: 210/1000 (1307.5s, 6.2s/q)
2026-04-30 19:05:42,392 INFO root | progress: 215/1000 (1363.1s, 6.3s/q)
2026-04-30 19:05:46,429 INFO root | progress: 220/1000 (1367.1s, 6.2s/q)
2026-04-30 19:05:56,067 INFO root | progress: 225/1000 (1376.8s, 6.1s/q)
2026-04-30 19:06:51,460 INFO root | progress: 230/1000 (1432.1s, 6.2s/q)
2026-04-30 19:07:16,890 INFO root | progress: 235/1000 (1457.6s, 6.2s/q)
2026-04-30 19:07:40,625 INFO root | progress: 240/1000 (1481.3s, 6.2s/q)
2026-04-30 19:08:09,826 INFO root | progress: 245/1000 (1510.5s, 6.2s/q)
2026-04-30 19:08:14,554 INFO root | progress: 250/1000 (1515.2s, 6.1s/q)
2026-04-30 19:09:00,156 INFO root | progress: 255/1000 (1560.8s, 6.1s/q)
2026-04-30 19:09:10,447 INFO root | progress: 260/1000 (1571.1s, 6.0s/q)
2026-04-30 19:09:29,456 INFO root | progress: 265/1000 (1590.1s, 6.0s/q)
2026-04-30 19:10:02,709 INFO root | progress: 270/1000 (1623.4s, 6.0s/q)
2026-04-30 19:10:42,350 INFO root | progress: 275/1000 (1663.0s, 6.0s/q)
2026-04-30 19:10:55,042 INFO root | progress: 280/1000 (1675.7s, 6.0s/q)
2026-04-30 19:11:04,935 INFO root | progress: 285/1000 (1685.6s, 5.9s/q)
2026-04-30 19:12:10,515 INFO root | progress: 290/1000 (1751.2s, 6.0s/q)
2026-04-30 19:12:14,191 INFO root | progress: 295/1000 (1754.9s, 5.9s/q)
2026-04-30 19:13:16,326 INFO root | progress: 300/1000 (1817.0s, 6.1s/q)
2026-04-30 19:13:30,318 INFO root | progress: 305/1000 (1831.0s, 6.0s/q)
2026-04-30 19:14:04,504 INFO root | progress: 310/1000 (1865.2s, 6.0s/q)
2026-04-30 19:14:11,916 INFO root | progress: 315/1000 (1872.6s, 5.9s/q)
2026-04-30 19:14:31,208 INFO root | progress: 320/1000 (1891.9s, 5.9s/q)
2026-04-30 19:15:23,306 INFO root | progress: 325/1000 (1944.0s, 6.0s/q)
2026-04-30 19:15:33,772 INFO root | progress: 330/1000 (1954.5s, 5.9s/q)
2026-04-30 19:15:45,045 INFO root | progress: 335/1000 (1965.7s, 5.9s/q)
2026-04-30 19:16:21,196 INFO root | progress: 340/1000 (2001.9s, 5.9s/q)
2026-04-30 19:16:56,533 INFO root | progress: 345/1000 (2037.2s, 5.9s/q)
2026/04/30 19:16:58 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.4)  if the reason for truncation is repetition.
2026-04-30 19:17:55,311 INFO root | progress: 350/1000 (2096.0s, 6.0s/q)
2026-04-30 19:18:00,933 INFO root | progress: 355/1000 (2101.6s, 5.9s/q)
2026-04-30 19:18:49,759 INFO root | progress: 360/1000 (2150.4s, 6.0s/q)
2026-04-30 19:18:55,878 INFO root | progress: 365/1000 (2156.6s, 5.9s/q)
2026-04-30 19:19:37,087 INFO root | progress: 370/1000 (2197.8s, 5.9s/q)
2026-04-30 19:19:44,428 INFO root | progress: 375/1000 (2205.1s, 5.9s/q)
2026-04-30 19:21:15,691 INFO root | progress: 380/1000 (2296.4s, 6.0s/q)
2026-04-30 19:21:21,645 INFO root | progress: 385/1000 (2302.3s, 6.0s/q)
