2026-05-05 10:44:40,798 INFO root | progress: 5/1000 (45.0s, 9.0s/q)
2026-05-05 10:44:46,569 INFO root | progress: 10/1000 (50.8s, 5.1s/q)
2026-05-05 10:44:50,061 INFO root | progress: 15/1000 (54.3s, 3.6s/q)
2026-05-05 10:44:54,241 INFO root | progress: 20/1000 (58.4s, 2.9s/q)
2026-05-05 10:45:02,592 INFO root | progress: 25/1000 (66.8s, 2.7s/q)
2026-05-05 10:45:28,048 INFO root | progress: 30/1000 (92.3s, 3.1s/q)
2026-05-05 10:45:37,721 INFO root | progress: 35/1000 (101.9s, 2.9s/q)
2026-05-05 10:45:42,263 INFO root | progress: 40/1000 (106.5s, 2.7s/q)
2026-05-05 10:45:47,889 INFO root | progress: 45/1000 (112.1s, 2.5s/q)
2026-05-05 10:46:02,458 INFO root | progress: 50/1000 (126.7s, 2.5s/q)
2026-05-05 10:46:12,217 INFO root | progress: 55/1000 (136.4s, 2.5s/q)
2026-05-05 10:46:27,961 INFO root | progress: 60/1000 (152.2s, 2.5s/q)
2026-05-05 10:46:30,330 INFO root | progress: 65/1000 (154.5s, 2.4s/q)
2026-05-05 10:46:35,382 INFO root | progress: 70/1000 (159.6s, 2.3s/q)
2026-05-05 10:46:42,188 INFO root | progress: 75/1000 (166.4s, 2.2s/q)
2026-05-05 10:47:01,825 INFO root | progress: 80/1000 (186.0s, 2.3s/q)
2026-05-05 10:47:16,055 INFO root | progress: 85/1000 (200.3s, 2.4s/q)
2026-05-05 10:47:22,772 INFO root | progress: 90/1000 (207.0s, 2.3s/q)
2026-05-05 10:47:25,628 INFO root | progress: 95/1000 (209.8s, 2.2s/q)
2026-05-05 10:47:29,135 INFO root | progress: 100/1000 (213.3s, 2.1s/q)
2026-05-05 10:47:45,623 INFO root | progress: 105/1000 (229.8s, 2.2s/q)
2026-05-05 10:48:08,775 INFO root | progress: 110/1000 (253.0s, 2.3s/q)
2026-05-05 10:48:12,011 INFO root | progress: 115/1000 (256.2s, 2.2s/q)
2026-05-05 10:48:15,688 INFO root | progress: 120/1000 (259.9s, 2.2s/q)
2026-05-05 10:48:21,681 INFO root | progress: 125/1000 (265.9s, 2.1s/q)
2026-05-05 10:48:37,932 INFO root | progress: 130/1000 (282.1s, 2.2s/q)
2026-05-05 10:48:51,123 INFO root | progress: 135/1000 (295.3s, 2.2s/q)
2026-05-05 10:48:58,559 INFO root | progress: 140/1000 (302.8s, 2.2s/q)
2026-05-05 10:49:04,986 INFO root | progress: 145/1000 (309.2s, 2.1s/q)
2026-05-05 10:49:17,395 INFO root | progress: 150/1000 (321.6s, 2.1s/q)
2026-05-05 10:49:36,335 INFO root | progress: 155/1000 (340.5s, 2.2s/q)
2026-05-05 10:49:48,232 INFO root | progress: 160/1000 (352.4s, 2.2s/q)
2026-05-05 10:49:53,636 INFO root | progress: 165/1000 (357.8s, 2.2s/q)
2026-05-05 10:50:03,735 INFO root | progress: 170/1000 (367.9s, 2.2s/q)
2026-05-05 10:50:13,841 INFO root | progress: 175/1000 (378.0s, 2.2s/q)
2026-05-05 10:50:27,238 INFO root | progress: 180/1000 (391.4s, 2.2s/q)
2026-05-05 10:50:34,697 INFO root | progress: 185/1000 (398.9s, 2.2s/q)
2026-05-05 10:50:48,914 INFO root | progress: 190/1000 (413.1s, 2.2s/q)
2026-05-05 10:50:59,025 INFO root | progress: 195/1000 (423.2s, 2.2s/q)
2026-05-05 10:51:11,029 INFO root | progress: 200/1000 (435.2s, 2.2s/q)
2026-05-05 10:51:19,921 INFO root | progress: 205/1000 (444.1s, 2.2s/q)
2026-05-05 10:51:26,386 INFO root | progress: 210/1000 (450.6s, 2.1s/q)
2026-05-05 10:51:42,395 INFO root | progress: 215/1000 (466.6s, 2.2s/q)
2026-05-05 10:51:56,374 INFO root | progress: 220/1000 (480.6s, 2.2s/q)
2026-05-05 10:52:03,069 INFO root | progress: 225/1000 (487.3s, 2.2s/q)
2026-05-05 10:52:13,242 INFO root | progress: 230/1000 (497.4s, 2.2s/q)
2026-05-05 10:52:26,493 INFO root | progress: 235/1000 (510.7s, 2.2s/q)
2026-05-05 10:52:39,609 INFO root | progress: 240/1000 (523.8s, 2.2s/q)
