Failed to initialize disk cache, falling back to memory-only cache: unable to open database file
2026-05-16 16:20:17,936 INFO root | progress: 5/50 (5.9s, 1.2s/q)
2026-05-16 16:20:20,119 INFO root | progress: 10/50 (8.1s, 0.8s/q)
2026-05-16 16:20:43,670 INFO root | progress: 15/50 (31.6s, 2.1s/q)
2026-05-16 16:20:46,625 INFO root | progress: 20/50 (34.6s, 1.7s/q)
2026-05-16 16:20:52,476 INFO root | progress: 25/50 (40.4s, 1.6s/q)
2026-05-16 16:20:54,940 INFO root | progress: 30/50 (42.9s, 1.4s/q)
2026-05-16 16:21:04,710 INFO root | progress: 35/50 (52.7s, 1.5s/q)
2026-05-16 16:21:13,469 INFO root | progress: 40/50 (61.4s, 1.5s/q)
2026-05-16 16:21:27,230 INFO root | progress: 45/50 (75.2s, 1.7s/q)
2026-05-16 16:21:48,391 INFO root | progress: 50/50 (96.4s, 1.9s/q)
2026-05-16 16:21:48,392 INFO root | done: 50 predictions written to compiled/pilot50_balanced_v2/predictions.jsonl
