Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 06:32:26,178 INFO root | progress: 5/1000 (41.1s, 8.2s/q)
2026-05-12 06:32:29,277 INFO root | progress: 10/1000 (44.2s, 4.4s/q)
2026-05-12 06:32:33,682 INFO root | progress: 15/1000 (48.6s, 3.2s/q)
2026-05-12 06:32:41,335 INFO root | progress: 20/1000 (56.3s, 2.8s/q)
2026-05-12 06:32:54,558 INFO root | progress: 25/1000 (69.5s, 2.8s/q)
2026-05-12 06:33:10,143 INFO root | progress: 30/1000 (85.1s, 2.8s/q)
2026-05-12 06:33:30,073 INFO root | progress: 35/1000 (105.0s, 3.0s/q)
2026-05-12 06:33:35,936 INFO root | progress: 40/1000 (110.9s, 2.8s/q)
2026-05-12 06:33:52,381 INFO root | progress: 45/1000 (127.3s, 2.8s/q)
2026-05-12 06:33:54,661 INFO root | progress: 50/1000 (129.6s, 2.6s/q)
2026-05-12 06:34:01,953 INFO root | progress: 55/1000 (136.9s, 2.5s/q)
2026-05-12 06:34:14,221 INFO root | progress: 60/1000 (149.1s, 2.5s/q)
2026-05-12 06:34:30,500 INFO root | progress: 65/1000 (165.4s, 2.5s/q)
2026-05-12 06:34:41,466 INFO root | progress: 70/1000 (176.4s, 2.5s/q)
2026-05-12 06:34:56,052 INFO root | progress: 75/1000 (191.0s, 2.5s/q)
2026-05-12 06:35:06,250 INFO root | progress: 80/1000 (201.2s, 2.5s/q)
2026-05-12 06:35:13,217 INFO root | progress: 85/1000 (208.1s, 2.4s/q)
2026-05-12 06:35:24,503 INFO root | progress: 90/1000 (219.4s, 2.4s/q)
2026-05-12 06:35:38,996 INFO root | progress: 95/1000 (233.9s, 2.5s/q)
2026-05-12 06:35:55,097 INFO root | progress: 100/1000 (250.0s, 2.5s/q)
2026-05-12 06:36:03,918 INFO root | progress: 105/1000 (258.8s, 2.5s/q)
2026-05-12 06:36:14,342 INFO root | progress: 110/1000 (269.3s, 2.4s/q)
2026-05-12 06:36:30,289 INFO root | progress: 115/1000 (285.2s, 2.5s/q)
2026-05-12 06:36:36,804 INFO root | progress: 120/1000 (291.7s, 2.4s/q)
2026-05-12 06:36:41,399 INFO root | progress: 125/1000 (296.3s, 2.4s/q)
2026-05-12 06:36:56,727 INFO root | progress: 130/1000 (311.6s, 2.4s/q)
2026-05-12 06:37:14,443 INFO root | progress: 135/1000 (329.4s, 2.4s/q)
2026-05-12 06:37:22,924 INFO root | progress: 140/1000 (337.8s, 2.4s/q)
2026-05-12 06:37:26,504 INFO root | progress: 145/1000 (341.4s, 2.4s/q)
2026-05-12 06:37:31,158 INFO root | progress: 150/1000 (346.1s, 2.3s/q)
2026-05-12 06:37:58,836 INFO root | progress: 155/1000 (373.8s, 2.4s/q)
2026-05-12 06:38:05,633 INFO root | progress: 160/1000 (380.6s, 2.4s/q)
2026-05-12 06:38:14,689 INFO root | progress: 165/1000 (389.6s, 2.4s/q)
2026-05-12 06:38:20,655 INFO root | progress: 170/1000 (395.6s, 2.3s/q)
2026-05-12 06:38:32,991 INFO root | progress: 175/1000 (407.9s, 2.3s/q)
2026-05-12 06:38:38,400 INFO root | progress: 180/1000 (413.3s, 2.3s/q)
2026-05-12 06:38:54,535 INFO root | progress: 185/1000 (429.5s, 2.3s/q)
2026-05-12 06:39:10,162 INFO root | progress: 190/1000 (445.1s, 2.3s/q)
2026-05-12 06:39:22,263 INFO root | progress: 195/1000 (457.2s, 2.3s/q)
2026-05-12 06:39:27,156 INFO root | progress: 200/1000 (462.1s, 2.3s/q)
2026-05-12 06:39:35,966 INFO root | progress: 205/1000 (470.9s, 2.3s/q)
2026-05-12 06:39:43,911 INFO root | progress: 210/1000 (478.8s, 2.3s/q)
2026-05-12 06:39:54,495 INFO root | progress: 215/1000 (489.4s, 2.3s/q)
2026/05/12 06:40:07 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 06:40:18,853 INFO root | progress: 220/1000 (513.8s, 2.3s/q)
2026-05-12 06:40:25,124 INFO root | progress: 225/1000 (520.0s, 2.3s/q)
2026-05-12 06:40:31,949 INFO root | progress: 230/1000 (526.9s, 2.3s/q)
2026-05-12 06:40:38,138 INFO root | progress: 235/1000 (533.1s, 2.3s/q)
2026-05-12 06:40:51,977 INFO root | progress: 240/1000 (546.9s, 2.3s/q)
2026-05-12 06:41:09,277 INFO root | progress: 245/1000 (564.2s, 2.3s/q)
2026-05-12 06:41:19,183 INFO root | progress: 250/1000 (574.1s, 2.3s/q)
2026-05-12 06:41:28,749 INFO root | progress: 255/1000 (583.7s, 2.3s/q)
2026-05-12 06:41:35,728 INFO root | progress: 260/1000 (590.7s, 2.3s/q)
2026-05-12 06:41:42,229 INFO root | progress: 265/1000 (597.2s, 2.3s/q)
2026-05-12 06:42:00,912 INFO root | progress: 270/1000 (615.8s, 2.3s/q)
2026-05-12 06:42:06,748 INFO root | progress: 275/1000 (621.7s, 2.3s/q)
2026-05-12 06:42:20,165 INFO root | progress: 280/1000 (635.1s, 2.3s/q)
2026-05-12 06:42:28,232 INFO root | progress: 285/1000 (643.2s, 2.3s/q)
2026-05-12 06:42:31,926 INFO root | progress: 290/1000 (646.8s, 2.2s/q)
2026-05-12 06:42:47,928 INFO root | progress: 295/1000 (662.9s, 2.2s/q)
2026-05-12 06:42:52,819 INFO root | progress: 300/1000 (667.7s, 2.2s/q)
2026-05-12 06:43:08,263 INFO root | progress: 305/1000 (683.2s, 2.2s/q)
2026-05-12 06:43:15,851 INFO root | progress: 310/1000 (690.8s, 2.2s/q)
2026-05-12 06:43:23,849 INFO root | progress: 315/1000 (698.8s, 2.2s/q)
2026-05-12 06:43:40,918 INFO root | progress: 320/1000 (715.8s, 2.2s/q)
