root=results/amas3_joint_tfgrpo_fullv2_20260509_014339
policy=source-aware v2: musique retrieval3_compact8; hotpot compact5; 2wiki compact8; bamboogle compact5
START musique 2026-05-09T01:43:39+02:00
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 01:44:16,353 INFO root | progress: 5/1000 (32.9s, 6.6s/q)
2026-05-09 01:44:34,096 INFO root | progress: 10/1000 (50.7s, 5.1s/q)
2026-05-09 01:44:49,074 INFO root | progress: 15/1000 (65.6s, 4.4s/q)
2026-05-09 01:45:08,481 INFO root | progress: 20/1000 (85.0s, 4.3s/q)
2026-05-09 01:45:30,896 INFO root | progress: 25/1000 (107.5s, 4.3s/q)
2026-05-09 01:45:48,771 INFO root | progress: 30/1000 (125.3s, 4.2s/q)
2026-05-09 01:46:05,508 INFO root | progress: 35/1000 (142.1s, 4.1s/q)
2026-05-09 01:46:22,227 INFO root | progress: 40/1000 (158.8s, 4.0s/q)
2026-05-09 01:46:41,293 INFO root | progress: 45/1000 (177.9s, 4.0s/q)
2026-05-09 01:47:07,204 INFO root | progress: 50/1000 (203.8s, 4.1s/q)
2026-05-09 01:47:23,788 INFO root | progress: 55/1000 (220.4s, 4.0s/q)
2026-05-09 01:47:46,042 INFO root | progress: 60/1000 (242.6s, 4.0s/q)
2026-05-09 01:48:07,512 INFO root | progress: 65/1000 (264.1s, 4.1s/q)
2026-05-09 01:48:21,571 INFO root | progress: 70/1000 (278.1s, 4.0s/q)
2026-05-09 01:48:44,544 INFO root | progress: 75/1000 (301.1s, 4.0s/q)
2026-05-09 01:49:03,188 INFO root | progress: 80/1000 (319.8s, 4.0s/q)
2026-05-09 01:49:24,791 INFO root | progress: 85/1000 (341.4s, 4.0s/q)
2026-05-09 01:49:44,728 INFO root | progress: 90/1000 (361.3s, 4.0s/q)
2026-05-09 01:50:02,702 INFO root | progress: 95/1000 (379.3s, 4.0s/q)
2026-05-09 01:50:20,935 INFO root | progress: 100/1000 (397.5s, 4.0s/q)
2026/05/09 01:50:36 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-09 01:50:50,836 INFO root | progress: 105/1000 (427.4s, 4.1s/q)
2026-05-09 01:51:05,884 INFO root | progress: 110/1000 (442.5s, 4.0s/q)
2026-05-09 01:51:28,945 INFO root | progress: 115/1000 (465.5s, 4.0s/q)
2026-05-09 01:51:52,970 INFO root | progress: 120/1000 (489.5s, 4.1s/q)
2026-05-09 01:52:02,710 INFO root | progress: 125/1000 (499.3s, 4.0s/q)
2026-05-09 01:52:26,724 INFO root | progress: 130/1000 (523.3s, 4.0s/q)
2026-05-09 01:52:44,445 INFO root | progress: 135/1000 (541.0s, 4.0s/q)
2026-05-09 01:53:04,983 INFO root | progress: 140/1000 (561.6s, 4.0s/q)
2026-05-09 01:53:17,923 INFO root | progress: 145/1000 (574.5s, 4.0s/q)
2026-05-09 01:53:41,627 INFO root | progress: 150/1000 (598.2s, 4.0s/q)
2026-05-09 01:54:01,218 INFO root | progress: 155/1000 (617.8s, 4.0s/q)
2026-05-09 01:54:24,541 INFO root | progress: 160/1000 (641.1s, 4.0s/q)
2026-05-09 01:54:44,088 INFO root | progress: 165/1000 (660.7s, 4.0s/q)
2026-05-09 01:54:55,334 INFO root | progress: 170/1000 (671.9s, 4.0s/q)
2026-05-09 01:55:24,966 INFO root | progress: 175/1000 (701.5s, 4.0s/q)
2026-05-09 01:55:38,986 INFO root | progress: 180/1000 (715.6s, 4.0s/q)
2026-05-09 01:56:02,657 INFO root | progress: 185/1000 (739.2s, 4.0s/q)
2026-05-09 01:56:19,171 INFO root | progress: 190/1000 (755.7s, 4.0s/q)
2026-05-09 01:56:35,470 INFO root | progress: 195/1000 (772.0s, 4.0s/q)
2026-05-09 01:56:56,622 INFO root | progress: 200/1000 (793.2s, 4.0s/q)
2026-05-09 01:57:22,583 INFO root | progress: 205/1000 (819.2s, 4.0s/q)
2026-05-09 01:57:40,738 INFO root | progress: 210/1000 (837.3s, 4.0s/q)
2026-05-09 01:58:02,337 INFO root | progress: 215/1000 (858.9s, 4.0s/q)
2026-05-09 01:58:28,725 INFO root | progress: 220/1000 (885.3s, 4.0s/q)
2026-05-09 01:58:42,389 INFO root | progress: 225/1000 (899.0s, 4.0s/q)
