START hotpotqa 2026-05-09T04:35:47+02:00
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 04:36:22,536 INFO root | progress: 5/1000 (31.2s, 6.2s/q)
2026-05-09 04:36:38,357 INFO root | progress: 10/1000 (47.1s, 4.7s/q)
2026-05-09 04:36:54,942 INFO root | progress: 15/1000 (63.6s, 4.2s/q)
2026-05-09 04:37:19,957 INFO root | progress: 20/1000 (88.7s, 4.4s/q)
2026-05-09 04:37:37,404 INFO root | progress: 25/1000 (106.1s, 4.2s/q)
2026-05-09 04:37:54,302 INFO root | progress: 30/1000 (123.0s, 4.1s/q)
2026-05-09 04:38:19,408 INFO root | progress: 35/1000 (148.1s, 4.2s/q)
2026-05-09 04:38:34,538 INFO root | progress: 40/1000 (163.2s, 4.1s/q)
2026-05-09 04:38:57,063 INFO root | progress: 45/1000 (185.8s, 4.1s/q)
2026-05-09 04:39:06,928 INFO root | progress: 50/1000 (195.6s, 3.9s/q)
2026-05-09 04:39:33,641 INFO root | progress: 55/1000 (222.3s, 4.0s/q)
2026-05-09 04:39:44,866 INFO root | progress: 60/1000 (233.6s, 3.9s/q)
2026-05-09 04:40:07,224 INFO root | progress: 65/1000 (255.9s, 3.9s/q)
2026-05-09 04:40:20,288 INFO root | progress: 70/1000 (269.0s, 3.8s/q)
2026-05-09 04:40:41,593 INFO root | progress: 75/1000 (290.3s, 3.9s/q)
2026-05-09 04:40:57,251 INFO root | progress: 80/1000 (306.0s, 3.8s/q)
2026-05-09 04:41:11,782 INFO root | progress: 85/1000 (320.5s, 3.8s/q)
2026-05-09 04:41:31,333 INFO root | progress: 90/1000 (340.0s, 3.8s/q)
2026-05-09 04:41:53,775 INFO root | progress: 95/1000 (362.5s, 3.8s/q)
2026-05-09 04:42:07,617 INFO root | progress: 100/1000 (376.3s, 3.8s/q)
2026-05-09 04:42:27,728 INFO root | progress: 105/1000 (396.4s, 3.8s/q)
2026-05-09 04:42:46,556 INFO root | progress: 110/1000 (415.3s, 3.8s/q)
2026-05-09 04:43:03,714 INFO root | progress: 115/1000 (432.4s, 3.8s/q)
2026-05-09 04:43:23,483 INFO root | progress: 120/1000 (452.2s, 3.8s/q)
2026-05-09 04:43:38,821 INFO root | progress: 125/1000 (467.5s, 3.7s/q)
2026-05-09 04:44:01,371 INFO root | progress: 130/1000 (490.1s, 3.8s/q)
2026-05-09 04:44:14,287 INFO root | progress: 135/1000 (503.0s, 3.7s/q)
2026-05-09 04:44:28,560 INFO root | progress: 140/1000 (517.3s, 3.7s/q)
2026-05-09 04:44:53,394 INFO root | progress: 145/1000 (542.1s, 3.7s/q)
2026-05-09 04:45:01,909 INFO root | progress: 150/1000 (550.6s, 3.7s/q)
2026-05-09 04:45:28,503 INFO root | progress: 155/1000 (577.2s, 3.7s/q)
2026-05-09 04:45:45,909 INFO root | progress: 160/1000 (594.6s, 3.7s/q)
2026-05-09 04:46:06,681 INFO root | progress: 165/1000 (615.4s, 3.7s/q)
2026-05-09 04:46:35,569 INFO root | progress: 170/1000 (644.3s, 3.8s/q)
2026-05-09 04:46:45,223 INFO root | progress: 175/1000 (653.9s, 3.7s/q)
2026-05-09 04:47:07,739 INFO root | progress: 180/1000 (676.4s, 3.8s/q)
2026-05-09 04:47:29,463 INFO root | progress: 185/1000 (698.2s, 3.8s/q)
2026-05-09 04:47:41,943 INFO root | progress: 190/1000 (710.6s, 3.7s/q)
2026-05-09 04:48:07,753 INFO root | progress: 195/1000 (736.5s, 3.8s/q)
2026-05-09 04:48:30,506 INFO root | progress: 200/1000 (759.2s, 3.8s/q)
2026-05-09 04:48:36,875 INFO root | progress: 205/1000 (765.6s, 3.7s/q)
2026-05-09 04:49:01,925 INFO root | progress: 210/1000 (790.6s, 3.8s/q)
2026-05-09 04:49:12,653 INFO root | progress: 215/1000 (801.4s, 3.7s/q)
2026-05-09 04:49:38,090 INFO root | progress: 220/1000 (826.8s, 3.8s/q)
2026-05-09 04:50:04,776 INFO root | progress: 225/1000 (853.5s, 3.8s/q)
2026-05-09 04:50:24,331 INFO root | progress: 230/1000 (873.0s, 3.8s/q)
2026-05-09 04:50:37,116 INFO root | progress: 235/1000 (885.8s, 3.8s/q)
2026-05-09 04:50:57,442 INFO root | progress: 240/1000 (906.1s, 3.8s/q)
2026-05-09 04:51:20,594 INFO root | progress: 245/1000 (929.3s, 3.8s/q)
2026-05-09 04:51:31,076 INFO root | progress: 250/1000 (939.8s, 3.8s/q)
2026-05-09 04:51:49,835 INFO root | progress: 255/1000 (958.5s, 3.8s/q)
2026-05-09 04:52:12,306 INFO root | progress: 260/1000 (981.0s, 3.8s/q)
2026-05-09 04:52:23,615 INFO root | progress: 265/1000 (992.3s, 3.7s/q)
2026-05-09 04:52:54,888 INFO root | progress: 270/1000 (1023.6s, 3.8s/q)
2026-05-09 04:53:08,076 INFO root | progress: 275/1000 (1036.8s, 3.8s/q)
2026-05-09 04:53:30,495 INFO root | progress: 280/1000 (1059.2s, 3.8s/q)
