START musique 2026-05-09T03:28:17+02:00
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 03:28:54,988 INFO root | progress: 5/1000 (33.6s, 6.7s/q)
2026-05-09 03:29:11,210 INFO root | progress: 10/1000 (49.8s, 5.0s/q)
2026-05-09 03:29:27,942 INFO root | progress: 15/1000 (66.6s, 4.4s/q)
2026-05-09 03:29:50,863 INFO root | progress: 20/1000 (89.5s, 4.5s/q)
2026-05-09 03:30:10,124 INFO root | progress: 25/1000 (108.8s, 4.4s/q)
2026-05-09 03:30:30,777 INFO root | progress: 30/1000 (129.4s, 4.3s/q)
2026-05-09 03:30:42,178 INFO root | progress: 35/1000 (140.8s, 4.0s/q)
2026-05-09 03:31:05,596 INFO root | progress: 40/1000 (164.2s, 4.1s/q)
2026-05-09 03:31:24,225 INFO root | progress: 45/1000 (182.9s, 4.1s/q)
2026-05-09 03:31:50,523 INFO root | progress: 50/1000 (209.2s, 4.2s/q)
2026-05-09 03:32:10,137 INFO root | progress: 55/1000 (228.8s, 4.2s/q)
2026-05-09 03:32:31,592 INFO root | progress: 60/1000 (250.2s, 4.2s/q)
2026-05-09 03:32:54,598 INFO root | progress: 65/1000 (273.2s, 4.2s/q)
2026-05-09 03:33:15,133 INFO root | progress: 70/1000 (293.8s, 4.2s/q)
2026-05-09 03:33:32,790 INFO root | progress: 75/1000 (311.4s, 4.2s/q)
2026-05-09 03:34:01,174 INFO root | progress: 80/1000 (339.8s, 4.2s/q)
2026-05-09 03:34:12,102 INFO root | progress: 85/1000 (350.7s, 4.1s/q)
2026-05-09 03:34:37,799 INFO root | progress: 90/1000 (376.4s, 4.2s/q)
2026-05-09 03:34:55,621 INFO root | progress: 95/1000 (394.3s, 4.2s/q)
2026-05-09 03:35:11,129 INFO root | progress: 100/1000 (409.8s, 4.1s/q)
2026/05/09 03:35:26 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-09 03:35:43,135 INFO root | progress: 105/1000 (441.8s, 4.2s/q)
