Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 07:21:56,337 INFO root | progress: 5/1000 (30.7s, 6.1s/q)
2026-05-09 07:22:12,550 INFO root | progress: 10/1000 (46.9s, 4.7s/q)
2026-05-09 07:22:31,874 INFO root | progress: 15/1000 (66.2s, 4.4s/q)
2026-05-09 07:22:54,569 INFO root | progress: 20/1000 (88.9s, 4.4s/q)
2026-05-09 07:23:11,386 INFO root | progress: 25/1000 (105.7s, 4.2s/q)
2026-05-09 07:23:38,943 INFO root | progress: 30/1000 (133.3s, 4.4s/q)
2026-05-09 07:23:54,247 INFO root | progress: 35/1000 (148.6s, 4.2s/q)
2026-05-09 07:24:17,301 INFO root | progress: 40/1000 (171.6s, 4.3s/q)
2026-05-09 07:24:40,453 INFO root | progress: 45/1000 (194.8s, 4.3s/q)
2026-05-09 07:24:50,849 INFO root | progress: 50/1000 (205.2s, 4.1s/q)
2026-05-09 07:25:16,194 INFO root | progress: 55/1000 (230.5s, 4.2s/q)
2026-05-09 07:25:33,626 INFO root | progress: 60/1000 (248.0s, 4.1s/q)
2026-05-09 07:25:55,829 INFO root | progress: 65/1000 (270.2s, 4.2s/q)
2026-05-09 07:26:09,767 INFO root | progress: 70/1000 (284.1s, 4.1s/q)
2026-05-09 07:26:29,671 INFO root | progress: 75/1000 (304.0s, 4.1s/q)
2026-05-09 07:26:44,820 INFO root | progress: 80/1000 (319.2s, 4.0s/q)
2026-05-09 07:27:03,447 INFO root | progress: 85/1000 (337.8s, 4.0s/q)
2026-05-09 07:27:24,182 INFO root | progress: 90/1000 (358.5s, 4.0s/q)
2026-05-09 07:27:43,728 INFO root | progress: 95/1000 (378.1s, 4.0s/q)
2026-05-09 07:27:54,737 INFO root | progress: 100/1000 (389.1s, 3.9s/q)
2026-05-09 07:28:18,262 INFO root | progress: 105/1000 (412.6s, 3.9s/q)
2026-05-09 07:28:36,697 INFO root | progress: 110/1000 (431.0s, 3.9s/q)
2026-05-09 07:28:50,495 INFO root | progress: 115/1000 (444.8s, 3.9s/q)
2026-05-09 07:29:15,536 INFO root | progress: 120/1000 (469.9s, 3.9s/q)
2026-05-09 07:29:30,323 INFO root | progress: 125/1000 (484.7s, 3.9s/q)
2026-05-09 07:29:48,352 INFO root | progress: 130/1000 (502.7s, 3.9s/q)
2026-05-09 07:30:03,086 INFO root | progress: 135/1000 (517.4s, 3.8s/q)
2026-05-09 07:30:21,954 INFO root | progress: 140/1000 (536.3s, 3.8s/q)
2026-05-09 07:30:43,644 INFO root | progress: 145/1000 (558.0s, 3.8s/q)
2026-05-09 07:30:58,409 INFO root | progress: 150/1000 (572.7s, 3.8s/q)
2026-05-09 07:31:20,150 INFO root | progress: 155/1000 (594.5s, 3.8s/q)
2026-05-09 07:31:43,913 INFO root | progress: 160/1000 (618.3s, 3.9s/q)
2026-05-09 07:32:01,189 INFO root | progress: 165/1000 (635.5s, 3.9s/q)
2026-05-09 07:32:24,765 INFO root | progress: 170/1000 (659.1s, 3.9s/q)
2026-05-09 07:32:40,066 INFO root | progress: 175/1000 (674.4s, 3.9s/q)
2026-05-09 07:32:59,049 INFO root | progress: 180/1000 (693.4s, 3.9s/q)
2026-05-09 07:33:22,278 INFO root | progress: 185/1000 (716.6s, 3.9s/q)
2026-05-09 07:33:39,077 INFO root | progress: 190/1000 (733.4s, 3.9s/q)
2026-05-09 07:34:04,221 INFO root | progress: 195/1000 (758.6s, 3.9s/q)
2026-05-09 07:34:31,766 INFO root | progress: 200/1000 (786.1s, 3.9s/q)
2026-05-09 07:34:40,620 INFO root | progress: 205/1000 (795.0s, 3.9s/q)
2026-05-09 07:35:00,328 INFO root | progress: 210/1000 (814.7s, 3.9s/q)
2026-05-09 07:35:16,725 INFO root | progress: 215/1000 (831.1s, 3.9s/q)
2026-05-09 07:35:39,954 INFO root | progress: 220/1000 (854.3s, 3.9s/q)
2026-05-09 07:36:10,059 INFO root | progress: 225/1000 (884.4s, 3.9s/q)
2026-05-09 07:36:32,209 INFO root | progress: 230/1000 (906.5s, 3.9s/q)
2026-05-09 07:36:43,104 INFO root | progress: 235/1000 (917.4s, 3.9s/q)
2026-05-09 07:37:03,480 INFO root | progress: 240/1000 (937.8s, 3.9s/q)
bash: line 6: 2959310 Terminated              .venv/bin/python scripts/run_amas.py --questions data/hotpotqa/questions_1000_seed42.json --output-dir "$out" --retriever-url http://node408:8003 --worker qwen14b_nothink --synth-mode qwen14b_nothink --planner-model qwen3-14b --planner-mode nothink --planner-budget 768 --solver-budget 768 --synth-budget 768 --use-sas-collapse --tau-sas-g 0.65 --tau-sas-conf 0.75 --adaptive-solver-budget --min-retrievals-per-solver 1 --medium-retrievals-per-solver 2 --max-retrievals 3 --no-repair --max-plan-subgoals 6 --synth-max-chunks 8 --synth-excerpt-chars 420 --synth-no-cot --concurrency 8
