tee: results/amas3_joint_tfgrpo_hotpot_full_20260509_060444/hotpot1000/run.log: No such file or directory
Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-09 06:05:19,289 INFO root | progress: 5/1000 (30.7s, 6.1s/q)
2026-05-09 06:05:35,346 INFO root | progress: 10/1000 (46.8s, 4.7s/q)
2026-05-09 06:05:54,423 INFO root | progress: 15/1000 (65.8s, 4.4s/q)
2026-05-09 06:06:17,372 INFO root | progress: 20/1000 (88.8s, 4.4s/q)
2026-05-09 06:06:34,003 INFO root | progress: 25/1000 (105.4s, 4.2s/q)
2026-05-09 06:06:55,386 INFO root | progress: 30/1000 (126.8s, 4.2s/q)
2026-05-09 06:07:17,164 INFO root | progress: 35/1000 (148.6s, 4.2s/q)
2026-05-09 06:07:40,708 INFO root | progress: 40/1000 (172.1s, 4.3s/q)
2026-05-09 06:08:02,436 INFO root | progress: 45/1000 (193.9s, 4.3s/q)
2026-05-09 06:08:13,365 INFO root | progress: 50/1000 (204.8s, 4.1s/q)
2026-05-09 06:08:36,548 INFO root | progress: 55/1000 (228.0s, 4.1s/q)
2026-05-09 06:08:56,531 INFO root | progress: 60/1000 (248.0s, 4.1s/q)
2026-05-09 06:09:17,464 INFO root | progress: 65/1000 (268.9s, 4.1s/q)
2026-05-09 06:09:34,422 INFO root | progress: 70/1000 (285.8s, 4.1s/q)
2026-05-09 06:09:52,431 INFO root | progress: 75/1000 (303.9s, 4.1s/q)
2026-05-09 06:10:08,580 INFO root | progress: 80/1000 (320.0s, 4.0s/q)
2026-05-09 06:10:26,289 INFO root | progress: 85/1000 (337.7s, 4.0s/q)
2026-05-09 06:10:42,457 INFO root | progress: 90/1000 (353.9s, 3.9s/q)
2026-05-09 06:11:05,174 INFO root | progress: 95/1000 (376.6s, 4.0s/q)
2026-05-09 06:11:16,683 INFO root | progress: 100/1000 (388.1s, 3.9s/q)
2026-05-09 06:11:39,829 INFO root | progress: 105/1000 (411.3s, 3.9s/q)
2026-05-09 06:12:01,141 INFO root | progress: 110/1000 (432.6s, 3.9s/q)
2026-05-09 06:12:12,788 INFO root | progress: 115/1000 (444.2s, 3.9s/q)
2026-05-09 06:12:35,784 INFO root | progress: 120/1000 (467.2s, 3.9s/q)
2026-05-09 06:12:53,188 INFO root | progress: 125/1000 (484.6s, 3.9s/q)
2026-05-09 06:13:09,298 INFO root | progress: 130/1000 (500.7s, 3.9s/q)
2026-05-09 06:13:25,115 INFO root | progress: 135/1000 (516.5s, 3.8s/q)
2026-05-09 06:13:44,577 INFO root | progress: 140/1000 (536.0s, 3.8s/q)
2026-05-09 06:14:02,788 INFO root | progress: 145/1000 (554.2s, 3.8s/q)
2026-05-09 06:14:18,826 INFO root | progress: 150/1000 (570.2s, 3.8s/q)
2026-05-09 06:14:42,636 INFO root | progress: 155/1000 (594.1s, 3.8s/q)
2026-05-09 06:15:06,349 INFO root | progress: 160/1000 (617.8s, 3.9s/q)
2026-05-09 06:15:21,493 INFO root | progress: 165/1000 (632.9s, 3.8s/q)
2026-05-09 06:15:48,328 INFO root | progress: 170/1000 (659.7s, 3.9s/q)
2026-05-09 06:16:04,785 INFO root | progress: 175/1000 (676.2s, 3.9s/q)
2026-05-09 06:16:18,882 INFO root | progress: 180/1000 (690.3s, 3.8s/q)
2026-05-09 06:16:43,913 INFO root | progress: 185/1000 (715.3s, 3.9s/q)
2026-05-09 06:17:00,388 INFO root | progress: 190/1000 (731.8s, 3.9s/q)
2026-05-09 06:17:24,086 INFO root | progress: 195/1000 (755.5s, 3.9s/q)
2026-05-09 06:17:53,332 INFO root | progress: 200/1000 (784.8s, 3.9s/q)
2026-05-09 06:18:03,583 INFO root | progress: 205/1000 (795.0s, 3.9s/q)
2026-05-09 06:18:23,781 INFO root | progress: 210/1000 (815.2s, 3.9s/q)
2026-05-09 06:18:38,968 INFO root | progress: 215/1000 (830.4s, 3.9s/q)
2026-05-09 06:19:03,564 INFO root | progress: 220/1000 (855.0s, 3.9s/q)
2026-05-09 06:19:32,407 INFO root | progress: 225/1000 (883.8s, 3.9s/q)
2026-05-09 06:19:54,047 INFO root | progress: 230/1000 (905.5s, 3.9s/q)
2026-05-09 06:20:04,858 INFO root | progress: 235/1000 (916.3s, 3.9s/q)
2026-05-09 06:20:24,507 INFO root | progress: 240/1000 (935.9s, 3.9s/q)
2026-05-09 06:20:42,894 INFO root | progress: 245/1000 (954.3s, 3.9s/q)
