2026-04-30 15:33:24,345 INFO root | progress: 5/1000 (33.4s, 6.7s/q)
2026-04-30 15:33:37,082 INFO root | progress: 10/1000 (46.1s, 4.6s/q)
2026-04-30 15:33:53,625 INFO root | progress: 15/1000 (62.7s, 4.2s/q)
2026-04-30 15:34:12,209 INFO root | progress: 20/1000 (81.3s, 4.1s/q)
2026-04-30 15:34:26,181 INFO root | progress: 25/1000 (95.2s, 3.8s/q)
2026-04-30 15:34:56,364 INFO root | progress: 30/1000 (125.4s, 4.2s/q)
2026-04-30 15:35:01,709 INFO root | progress: 35/1000 (130.8s, 3.7s/q)
2026-04-30 15:35:24,772 INFO root | progress: 40/1000 (153.8s, 3.8s/q)
2026-04-30 15:35:36,977 INFO root | progress: 45/1000 (166.0s, 3.7s/q)
2026-04-30 15:36:02,734 INFO root | progress: 50/1000 (191.8s, 3.8s/q)
2026-04-30 15:36:21,316 INFO root | progress: 55/1000 (210.4s, 3.8s/q)
2026-04-30 15:36:52,282 INFO root | progress: 60/1000 (241.3s, 4.0s/q)
2026-04-30 15:37:07,155 INFO root | progress: 65/1000 (256.2s, 3.9s/q)
2026-04-30 15:37:17,475 INFO root | progress: 70/1000 (266.5s, 3.8s/q)
2026-04-30 15:37:40,824 INFO root | progress: 75/1000 (289.9s, 3.9s/q)
2026-04-30 15:37:54,787 INFO root | progress: 80/1000 (303.9s, 3.8s/q)
2026-04-30 15:38:18,338 INFO root | progress: 85/1000 (327.4s, 3.9s/q)
2026-04-30 15:38:39,767 INFO root | progress: 90/1000 (348.8s, 3.9s/q)
2026-04-30 15:39:01,050 INFO root | progress: 95/1000 (370.1s, 3.9s/q)
2026-04-30 15:39:20,170 INFO root | progress: 100/1000 (389.2s, 3.9s/q)
2026/04/30 15:39:52 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.6)  if the reason for truncation is repetition.
2026-04-30 15:39:53,078 INFO root | progress: 105/1000 (422.1s, 4.0s/q)
2026-04-30 15:40:23,083 INFO root | progress: 110/1000 (452.1s, 4.1s/q)
2026-04-30 15:40:44,904 INFO root | progress: 115/1000 (474.0s, 4.1s/q)
2026-04-30 15:40:51,934 INFO root | progress: 120/1000 (481.0s, 4.0s/q)
2026-04-30 15:41:09,051 INFO root | progress: 125/1000 (498.1s, 4.0s/q)
2026-04-30 15:41:23,758 INFO root | progress: 130/1000 (512.8s, 3.9s/q)
2026-04-30 15:41:40,511 INFO root | progress: 135/1000 (529.6s, 3.9s/q)
2026-04-30 15:41:59,650 INFO root | progress: 140/1000 (548.7s, 3.9s/q)
2026-04-30 15:42:30,514 INFO root | progress: 145/1000 (579.6s, 4.0s/q)
2026-04-30 15:42:43,306 INFO root | progress: 150/1000 (592.4s, 3.9s/q)
2026-04-30 15:43:03,809 INFO root | progress: 155/1000 (612.9s, 4.0s/q)
2026-04-30 15:43:12,176 INFO root | progress: 160/1000 (621.2s, 3.9s/q)
2026-04-30 15:43:32,720 INFO root | progress: 165/1000 (641.8s, 3.9s/q)
2026-04-30 15:43:36,662 INFO openai._base_client | Retrying request to /chat/completions in 60.000000 seconds
2026-04-30 15:43:38,933 INFO root | progress: 170/1000 (648.0s, 3.8s/q)
2026-04-30 15:56:31,420 INFO openai._base_client | Retrying request to /chat/completions in 0.869751 seconds
2026-04-30 15:56:38,927 INFO root | progress: 175/1000 (1428.0s, 8.2s/q)
2026-04-30 15:56:45,701 INFO root | progress: 180/1000 (1434.8s, 8.0s/q)
2026-04-30 15:57:08,318 INFO root | progress: 185/1000 (1457.4s, 7.9s/q)
