Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-11 23:39:23,536 INFO root | progress: 5/200 (52.9s, 10.6s/q)
2026-05-11 23:39:27,338 INFO root | progress: 10/200 (56.7s, 5.7s/q)
2026-05-11 23:39:32,421 INFO root | progress: 15/200 (61.7s, 4.1s/q)
2026-05-11 23:39:52,245 INFO root | progress: 20/200 (81.6s, 4.1s/q)
2026-05-11 23:40:00,850 INFO root | progress: 25/200 (90.2s, 3.6s/q)
2026-05-11 23:40:20,640 INFO root | progress: 30/200 (110.0s, 3.7s/q)
2026-05-11 23:40:29,726 INFO root | progress: 35/200 (119.0s, 3.4s/q)
2026-05-11 23:40:40,140 INFO root | progress: 40/200 (129.5s, 3.2s/q)
2026-05-11 23:40:48,402 INFO root | progress: 45/200 (137.7s, 3.1s/q)
2026-05-11 23:41:01,724 INFO root | progress: 50/200 (151.0s, 3.0s/q)
2026-05-11 23:41:17,617 INFO root | progress: 55/200 (166.9s, 3.0s/q)
2026-05-11 23:41:32,448 INFO root | progress: 60/200 (181.8s, 3.0s/q)
2026-05-11 23:41:41,371 INFO root | progress: 65/200 (190.7s, 2.9s/q)
2026-05-11 23:41:46,038 INFO root | progress: 70/200 (195.4s, 2.8s/q)
2026-05-11 23:42:02,245 INFO root | progress: 75/200 (211.6s, 2.8s/q)
2026-05-11 23:42:16,566 INFO root | progress: 80/200 (225.9s, 2.8s/q)
2026-05-11 23:42:27,778 INFO root | progress: 85/200 (237.1s, 2.8s/q)
2026-05-11 23:42:38,159 INFO root | progress: 90/200 (247.5s, 2.7s/q)
2026-05-11 23:42:48,045 INFO root | progress: 95/200 (257.4s, 2.7s/q)
2026-05-11 23:42:55,020 INFO root | progress: 100/200 (264.3s, 2.6s/q)
2026-05-11 23:43:15,797 INFO root | progress: 105/200 (285.1s, 2.7s/q)
2026-05-11 23:43:29,496 INFO root | progress: 110/200 (298.8s, 2.7s/q)
2026-05-11 23:43:43,215 INFO root | progress: 115/200 (312.5s, 2.7s/q)
2026-05-11 23:43:50,655 INFO root | progress: 120/200 (320.0s, 2.7s/q)
2026-05-11 23:44:03,559 INFO root | progress: 125/200 (332.9s, 2.7s/q)
2026-05-11 23:44:21,414 INFO root | progress: 130/200 (350.7s, 2.7s/q)
2026-05-11 23:44:36,532 INFO root | progress: 135/200 (365.9s, 2.7s/q)
2026-05-11 23:44:38,612 INFO root | progress: 140/200 (367.9s, 2.6s/q)
2026-05-11 23:44:50,886 INFO root | progress: 145/200 (380.2s, 2.6s/q)
2026-05-11 23:45:14,155 INFO root | progress: 150/200 (403.5s, 2.7s/q)
2026-05-11 23:45:27,465 INFO root | progress: 155/200 (416.8s, 2.7s/q)
2026-05-11 23:45:32,500 INFO root | progress: 160/200 (421.8s, 2.6s/q)
2026-05-11 23:45:46,856 INFO root | progress: 165/200 (436.2s, 2.6s/q)
2026-05-11 23:46:00,094 INFO root | progress: 170/200 (449.4s, 2.6s/q)
2026-05-11 23:46:14,826 INFO root | progress: 175/200 (464.1s, 2.7s/q)
2026-05-11 23:46:21,690 INFO root | progress: 180/200 (471.0s, 2.6s/q)
2026-05-11 23:46:31,738 INFO root | progress: 185/200 (481.1s, 2.6s/q)
2026-05-11 23:46:45,956 INFO root | progress: 190/200 (495.3s, 2.6s/q)
2026-05-11 23:47:03,777 INFO root | progress: 195/200 (513.1s, 2.6s/q)
2026-05-11 23:47:25,217 INFO root | progress: 200/200 (534.5s, 2.7s/q)
2026-05-11 23:47:25,218 INFO root | done: 200 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/ablations_20260511/A0_baseline__hotpot/predictions.jsonl
