Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-11 23:48:21,050 INFO root | progress: 5/200 (51.2s, 10.2s/q)
2026-05-11 23:48:26,125 INFO root | progress: 10/200 (56.2s, 5.6s/q)
2026-05-11 23:48:35,698 INFO root | progress: 15/200 (65.8s, 4.4s/q)
2026-05-11 23:48:51,869 INFO root | progress: 20/200 (82.0s, 4.1s/q)
2026-05-11 23:49:09,036 INFO root | progress: 25/200 (99.2s, 4.0s/q)
2026-05-11 23:49:19,147 INFO root | progress: 30/200 (109.3s, 3.6s/q)
2026-05-11 23:49:31,424 INFO root | progress: 35/200 (121.5s, 3.5s/q)
2026-05-11 23:49:47,743 INFO root | progress: 40/200 (137.9s, 3.4s/q)
2026-05-11 23:50:07,951 INFO root | progress: 45/200 (158.1s, 3.5s/q)
2026/05/11 23:50:14 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-11 23:50:16,868 INFO root | progress: 50/200 (167.0s, 3.3s/q)
2026-05-11 23:50:26,924 INFO root | progress: 55/200 (177.0s, 3.2s/q)
2026-05-11 23:50:41,771 INFO root | progress: 60/200 (191.9s, 3.2s/q)
2026-05-11 23:51:07,959 INFO root | progress: 65/200 (218.1s, 3.4s/q)
2026-05-11 23:51:17,547 INFO root | progress: 70/200 (227.7s, 3.3s/q)
2026-05-11 23:51:31,226 INFO root | progress: 75/200 (241.3s, 3.2s/q)
2026-05-11 23:51:38,443 INFO root | progress: 80/200 (248.6s, 3.1s/q)
2026-05-11 23:51:50,493 INFO root | progress: 85/200 (260.6s, 3.1s/q)
