2026-04-30 18:31:09,542 INFO root | progress: 5/100 (51.0s, 10.2s/q)
2026-04-30 18:31:39,530 INFO root | progress: 10/100 (81.0s, 8.1s/q)
2026-04-30 18:32:07,776 INFO root | progress: 15/100 (109.2s, 7.3s/q)
2026-04-30 18:32:18,796 INFO root | progress: 20/100 (120.2s, 6.0s/q)
2026-04-30 18:32:51,018 INFO root | progress: 25/100 (152.5s, 6.1s/q)
2026-04-30 18:33:10,404 INFO root | progress: 30/100 (171.8s, 5.7s/q)
2026-04-30 18:33:31,963 INFO root | progress: 35/100 (193.4s, 5.5s/q)
2026-04-30 18:34:17,930 INFO root | progress: 40/100 (239.4s, 6.0s/q)
2026-04-30 18:34:37,552 INFO root | progress: 45/100 (259.0s, 5.8s/q)
2026-04-30 18:35:01,282 INFO root | progress: 50/100 (282.7s, 5.7s/q)
2026-04-30 18:35:24,580 INFO root | progress: 55/100 (306.0s, 5.6s/q)
2026-04-30 18:36:08,295 INFO root | progress: 60/100 (349.7s, 5.8s/q)
2026-04-30 18:36:44,502 INFO root | progress: 65/100 (385.9s, 5.9s/q)
2026-04-30 18:37:38,448 INFO root | progress: 70/100 (439.9s, 6.3s/q)
2026-04-30 18:37:58,353 INFO root | progress: 75/100 (459.8s, 6.1s/q)
2026-04-30 18:38:39,953 INFO root | progress: 80/100 (501.4s, 6.3s/q)
2026/04/30 18:38:50 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.4)  if the reason for truncation is repetition.
2026-04-30 18:39:29,245 INFO root | progress: 85/100 (550.7s, 6.5s/q)
2026-04-30 18:40:34,861 INFO root | progress: 90/100 (616.3s, 6.8s/q)
2026-04-30 18:40:57,331 INFO root | progress: 95/100 (638.8s, 6.7s/q)
2026-04-30 18:41:19,760 INFO root | progress: 100/100 (661.2s, 6.6s/q)
2026-04-30 18:41:19,760 INFO root | done: 100 predictions written to results/amas_pro_synthunion_qwen3_14b_4omini_stratified100/predictions.jsonl
