2026-05-05 11:20:29,989 INFO root | progress: 5/1000 (48.2s, 9.6s/q)
2026-05-05 11:20:32,928 INFO root | progress: 10/1000 (51.1s, 5.1s/q)
2026-05-05 11:20:38,029 INFO root | progress: 15/1000 (56.2s, 3.7s/q)
2026-05-05 11:20:51,346 INFO root | progress: 20/1000 (69.6s, 3.5s/q)
2026-05-05 11:21:13,338 INFO root | progress: 25/1000 (91.6s, 3.7s/q)
2026-05-05 11:21:18,898 INFO root | progress: 30/1000 (97.1s, 3.2s/q)
2026-05-05 11:21:33,997 INFO root | progress: 35/1000 (112.2s, 3.2s/q)
2026-05-05 11:21:50,448 INFO root | progress: 40/1000 (128.7s, 3.2s/q)
2026-05-05 11:22:03,035 INFO root | progress: 45/1000 (141.3s, 3.1s/q)
2026-05-05 11:22:09,672 INFO root | progress: 50/1000 (147.9s, 3.0s/q)
2026-05-05 11:22:24,711 INFO root | progress: 55/1000 (162.9s, 3.0s/q)
2026-05-05 11:22:30,595 INFO root | progress: 60/1000 (168.8s, 2.8s/q)
2026-05-05 11:22:44,499 INFO root | progress: 65/1000 (182.7s, 2.8s/q)
2026-05-05 11:23:00,627 INFO root | progress: 70/1000 (198.8s, 2.8s/q)
2026-05-05 11:23:19,235 INFO root | progress: 75/1000 (217.5s, 2.9s/q)
2026-05-05 11:23:28,133 INFO root | progress: 80/1000 (226.4s, 2.8s/q)
2026-05-05 11:23:31,624 INFO root | progress: 85/1000 (229.8s, 2.7s/q)
2026-05-05 11:23:46,862 INFO root | progress: 90/1000 (245.1s, 2.7s/q)
2026-05-05 11:24:02,257 INFO root | progress: 95/1000 (260.5s, 2.7s/q)
2026-05-05 11:24:21,749 INFO root | progress: 100/1000 (280.0s, 2.8s/q)
2026-05-05 11:24:30,266 INFO root | progress: 105/1000 (288.5s, 2.7s/q)
2026-05-05 11:24:42,119 INFO root | progress: 110/1000 (300.3s, 2.7s/q)
2026-05-05 11:24:52,349 INFO root | progress: 115/1000 (310.6s, 2.7s/q)
2026-05-05 11:25:02,811 INFO root | progress: 120/1000 (321.0s, 2.7s/q)
2026-05-05 11:25:14,739 INFO root | progress: 125/1000 (333.0s, 2.7s/q)
2026-05-05 11:25:28,485 INFO root | progress: 130/1000 (346.7s, 2.7s/q)
