2026-05-05 12:10:29,629 INFO root | progress: 5/1000 (43.8s, 8.8s/q)
2026-05-05 12:10:34,547 INFO root | progress: 10/1000 (48.7s, 4.9s/q)
2026-05-05 12:10:40,727 INFO root | progress: 15/1000 (54.9s, 3.7s/q)
2026-05-05 12:10:48,740 INFO root | progress: 20/1000 (62.9s, 3.1s/q)
2026-05-05 12:11:05,503 INFO root | progress: 25/1000 (79.6s, 3.2s/q)
2026-05-05 12:11:21,846 INFO root | progress: 30/1000 (96.0s, 3.2s/q)
2026-05-05 12:11:28,126 INFO root | progress: 35/1000 (102.3s, 2.9s/q)
2026-05-05 12:11:42,435 INFO root | progress: 40/1000 (116.6s, 2.9s/q)
2026-05-05 12:11:56,244 INFO root | progress: 45/1000 (130.4s, 2.9s/q)
2026-05-05 12:12:04,448 INFO root | progress: 50/1000 (138.6s, 2.8s/q)
2026-05-05 12:12:14,994 INFO root | progress: 55/1000 (149.1s, 2.7s/q)
2026-05-05 12:12:31,854 INFO root | progress: 60/1000 (166.0s, 2.8s/q)
2026-05-05 12:12:41,991 INFO root | progress: 65/1000 (176.1s, 2.7s/q)
2026-05-05 12:12:56,429 INFO root | progress: 70/1000 (190.6s, 2.7s/q)
2026-05-05 12:13:05,508 INFO root | progress: 75/1000 (199.6s, 2.7s/q)
2026-05-05 12:13:12,171 INFO root | progress: 80/1000 (206.3s, 2.6s/q)
2026-05-05 12:13:27,963 INFO root | progress: 85/1000 (222.1s, 2.6s/q)
2026-05-05 12:13:42,862 INFO root | progress: 90/1000 (237.0s, 2.6s/q)
2026-05-05 12:13:50,340 INFO root | progress: 95/1000 (244.5s, 2.6s/q)
2026/05/05 12:13:56 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-05 12:14:00,646 INFO root | progress: 100/1000 (254.8s, 2.5s/q)
2026-05-05 12:14:16,428 INFO root | progress: 105/1000 (270.6s, 2.6s/q)
2026-05-05 12:14:25,318 INFO root | progress: 110/1000 (279.4s, 2.5s/q)
2026/05/05 12:14:30 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-05 12:14:37,014 INFO root | progress: 115/1000 (291.1s, 2.5s/q)
2026-05-05 12:14:50,958 INFO root | progress: 120/1000 (305.1s, 2.5s/q)
2026-05-05 12:15:00,380 INFO root | progress: 125/1000 (314.5s, 2.5s/q)
2026-05-05 12:15:06,089 INFO root | progress: 130/1000 (320.2s, 2.5s/q)
2026-05-05 12:15:14,850 INFO root | progress: 135/1000 (329.0s, 2.4s/q)
2026-05-05 12:15:30,414 INFO root | progress: 140/1000 (344.5s, 2.5s/q)
2026-05-05 12:15:41,217 INFO root | progress: 145/1000 (355.3s, 2.5s/q)
2026-05-05 12:15:54,139 INFO root | progress: 150/1000 (368.3s, 2.5s/q)
2026-05-05 12:16:07,171 INFO root | progress: 155/1000 (381.3s, 2.5s/q)
2026-05-05 12:16:18,067 INFO root | progress: 160/1000 (392.2s, 2.5s/q)
2026-05-05 12:16:26,912 INFO root | progress: 165/1000 (401.0s, 2.4s/q)
2026-05-05 12:16:34,857 INFO root | progress: 170/1000 (409.0s, 2.4s/q)
2026-05-05 12:16:53,396 INFO root | progress: 175/1000 (427.5s, 2.4s/q)
2026-05-05 12:17:08,812 INFO root | progress: 180/1000 (442.9s, 2.5s/q)
2026-05-05 12:17:15,054 INFO root | progress: 185/1000 (449.2s, 2.4s/q)
2026-05-05 12:17:21,186 INFO root | progress: 190/1000 (455.3s, 2.4s/q)
2026-05-05 12:17:33,211 INFO root | progress: 195/1000 (467.3s, 2.4s/q)
2026-05-05 12:17:50,951 INFO root | progress: 200/1000 (485.1s, 2.4s/q)
2026-05-05 12:18:07,419 INFO root | progress: 205/1000 (501.6s, 2.4s/q)
2026-05-05 12:18:24,127 INFO root | progress: 210/1000 (518.3s, 2.5s/q)
2026-05-05 12:18:34,287 INFO root | progress: 215/1000 (528.4s, 2.5s/q)
2026-05-05 12:18:41,021 INFO root | progress: 220/1000 (535.2s, 2.4s/q)
2026-05-05 12:18:52,348 INFO root | progress: 225/1000 (546.5s, 2.4s/q)
2026-05-05 12:19:06,356 INFO root | progress: 230/1000 (560.5s, 2.4s/q)
2026-05-05 12:19:17,553 INFO root | progress: 235/1000 (571.7s, 2.4s/q)
2026/05/05 12:19:18 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=2048. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-05 12:19:24,419 INFO root | progress: 240/1000 (578.6s, 2.4s/q)
2026-05-05 12:19:38,750 INFO root | progress: 245/1000 (592.9s, 2.4s/q)
2026-05-05 12:19:49,938 INFO root | progress: 250/1000 (604.1s, 2.4s/q)
2026-05-05 12:20:04,515 INFO root | progress: 255/1000 (618.6s, 2.4s/q)
2026-05-05 12:20:10,303 INFO root | progress: 260/1000 (624.4s, 2.4s/q)
2026-05-05 12:20:18,438 INFO root | progress: 265/1000 (632.6s, 2.4s/q)
