Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:17:00,971 INFO root | progress: 5/100 (12.2s, 2.4s/q)
2026-05-12 10:17:28,777 INFO root | progress: 10/100 (40.1s, 4.0s/q)
2026-05-12 10:17:32,573 INFO root | progress: 15/100 (43.9s, 2.9s/q)
2026-05-12 10:17:36,201 INFO root | progress: 20/100 (47.5s, 2.4s/q)
2026-05-12 10:17:40,890 INFO root | progress: 25/100 (52.2s, 2.1s/q)
2026-05-12 10:17:49,833 INFO root | progress: 30/100 (61.1s, 2.0s/q)
2026-05-12 10:18:04,886 INFO root | progress: 35/100 (76.2s, 2.2s/q)
2026-05-12 10:18:09,555 INFO root | progress: 40/100 (80.8s, 2.0s/q)
2026-05-12 10:18:16,158 INFO root | progress: 45/100 (87.4s, 1.9s/q)
2026-05-12 10:18:20,821 INFO root | progress: 50/100 (92.1s, 1.8s/q)
2026-05-12 10:18:32,029 INFO root | progress: 55/100 (103.3s, 1.9s/q)
2026-05-12 10:18:42,914 INFO root | progress: 60/100 (114.2s, 1.9s/q)
2026-05-12 10:18:51,182 INFO root | progress: 65/100 (122.5s, 1.9s/q)
2026-05-12 10:18:52,974 INFO root | progress: 70/100 (124.3s, 1.8s/q)
2026-05-12 10:19:00,215 INFO root | progress: 75/100 (131.5s, 1.8s/q)
2026-05-12 10:19:08,105 INFO root | progress: 80/100 (139.4s, 1.7s/q)
2026-05-12 10:19:18,490 INFO root | progress: 85/100 (149.8s, 1.8s/q)
2026-05-12 10:19:30,418 INFO root | progress: 90/100 (161.7s, 1.8s/q)
2026-05-12 10:19:32,371 INFO root | progress: 95/100 (163.6s, 1.7s/q)
2026-05-12 10:19:40,228 INFO root | progress: 100/100 (171.5s, 1.7s/q)
2026-05-12 10:19:40,228 INFO root | done: 100 predictions written to results/amas_pro/orch_exp/E1_cap5_sb768/hotpot/predictions.jsonl
