Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:35:49,164 INFO root | progress: 5/100 (16.1s, 3.2s/q)
2026-05-12 10:36:16,581 INFO root | progress: 10/100 (43.6s, 4.4s/q)
2026-05-12 10:36:18,778 INFO root | progress: 15/100 (45.8s, 3.1s/q)
2026-05-12 10:36:21,951 INFO root | progress: 20/100 (48.9s, 2.4s/q)
2026-05-12 10:36:31,661 INFO root | progress: 25/100 (58.6s, 2.3s/q)
2026-05-12 10:36:43,755 INFO root | progress: 30/100 (70.7s, 2.4s/q)
2026-05-12 10:36:58,131 INFO root | progress: 35/100 (85.1s, 2.4s/q)
2026-05-12 10:37:11,290 INFO root | progress: 40/100 (98.3s, 2.5s/q)
2026-05-12 10:37:23,755 INFO root | progress: 45/100 (110.7s, 2.5s/q)
2026-05-12 10:37:34,451 INFO root | progress: 50/100 (121.4s, 2.4s/q)
2026-05-12 10:37:40,218 INFO root | progress: 55/100 (127.2s, 2.3s/q)
2026-05-12 10:37:45,501 INFO root | progress: 60/100 (132.5s, 2.2s/q)
2026-05-12 10:38:09,978 INFO root | progress: 65/100 (157.0s, 2.4s/q)
2026-05-12 10:38:13,197 INFO root | progress: 70/100 (160.2s, 2.3s/q)
2026-05-12 10:38:39,228 INFO root | progress: 75/100 (186.2s, 2.5s/q)
2026-05-12 10:38:43,620 INFO root | progress: 80/100 (190.6s, 2.4s/q)
2026-05-12 10:38:52,400 INFO root | progress: 85/100 (199.4s, 2.3s/q)
2026-05-12 10:39:00,813 INFO root | progress: 90/100 (207.8s, 2.3s/q)
2026-05-12 10:39:11,246 INFO root | progress: 95/100 (218.2s, 2.3s/q)
2026-05-12 10:39:52,716 INFO root | progress: 100/100 (259.7s, 2.6s/q)
2026-05-12 10:39:52,716 INFO root | done: 100 predictions written to results/amas_pro/orch_exp/E5_nopgate/2wiki/predictions.jsonl
