Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:33:00,806 INFO root | progress: 5/100 (6.9s, 1.4s/q)
2026-05-12 10:33:07,147 INFO root | progress: 10/100 (13.2s, 1.3s/q)
2026-05-12 10:33:20,132 INFO root | progress: 15/100 (26.2s, 1.7s/q)
2026-05-12 10:33:42,417 INFO root | progress: 20/100 (48.5s, 2.4s/q)
2026-05-12 10:33:45,161 INFO root | progress: 25/100 (51.2s, 2.0s/q)
2026-05-12 10:33:47,035 INFO root | progress: 30/100 (53.1s, 1.8s/q)
2026-05-12 10:33:50,772 INFO root | progress: 35/100 (56.8s, 1.6s/q)
2026-05-12 10:33:54,459 INFO root | progress: 40/100 (60.5s, 1.5s/q)
2026-05-12 10:33:58,568 INFO root | progress: 45/100 (64.6s, 1.4s/q)
2026-05-12 10:34:16,345 INFO root | progress: 50/100 (82.4s, 1.6s/q)
2026-05-12 10:34:30,615 INFO root | progress: 55/100 (96.7s, 1.8s/q)
2026-05-12 10:34:33,522 INFO root | progress: 60/100 (99.6s, 1.7s/q)
2026-05-12 10:34:39,655 INFO root | progress: 65/100 (105.7s, 1.6s/q)
2026-05-12 10:34:42,488 INFO root | progress: 70/100 (108.5s, 1.6s/q)
2026-05-12 10:34:45,647 INFO root | progress: 75/100 (111.7s, 1.5s/q)
2026-05-12 10:34:48,366 INFO root | progress: 80/100 (114.4s, 1.4s/q)
2026-05-12 10:35:00,957 INFO root | progress: 85/100 (127.0s, 1.5s/q)
2026-05-12 10:35:17,254 INFO root | progress: 90/100 (143.3s, 1.6s/q)
2026-05-12 10:35:24,367 INFO root | progress: 95/100 (150.4s, 1.6s/q)
2026-05-12 10:35:28,882 INFO root | progress: 100/100 (154.9s, 1.5s/q)
2026-05-12 10:35:28,882 INFO root | done: 100 predictions written to results/amas_pro/orch_exp/E5_nopgate/hotpot/predictions.jsonl
