Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 01:36:11,109 INFO root | progress: 5/1000 (42.2s, 8.4s/q)
2026-05-12 01:36:18,518 INFO root | progress: 10/1000 (49.6s, 5.0s/q)
2026-05-12 01:36:24,112 INFO root | progress: 15/1000 (55.2s, 3.7s/q)
2026-05-12 01:36:27,505 INFO root | progress: 20/1000 (58.6s, 2.9s/q)
2026-05-12 01:36:36,828 INFO root | progress: 25/1000 (68.0s, 2.7s/q)
2026-05-12 01:37:02,759 INFO root | progress: 30/1000 (93.9s, 3.1s/q)
2026-05-12 01:37:12,136 INFO root | progress: 35/1000 (103.3s, 3.0s/q)
2026-05-12 01:37:17,677 INFO root | progress: 40/1000 (108.8s, 2.7s/q)
2026-05-12 01:37:24,924 INFO root | progress: 45/1000 (116.1s, 2.6s/q)
2026-05-12 01:37:29,684 INFO root | progress: 50/1000 (120.8s, 2.4s/q)
2026-05-12 01:37:52,520 INFO root | progress: 55/1000 (143.6s, 2.6s/q)
2026-05-12 01:38:01,328 INFO root | progress: 60/1000 (152.5s, 2.5s/q)
2026-05-12 01:38:08,137 INFO root | progress: 65/1000 (159.3s, 2.5s/q)
2026-05-12 01:38:20,264 INFO root | progress: 70/1000 (171.4s, 2.4s/q)
2026-05-12 01:38:29,023 INFO root | progress: 75/1000 (180.2s, 2.4s/q)
2026-05-12 01:38:39,513 INFO root | progress: 80/1000 (190.6s, 2.4s/q)
2026-05-12 01:38:49,980 INFO root | progress: 85/1000 (201.1s, 2.4s/q)
2026-05-12 01:39:00,116 INFO root | progress: 90/1000 (211.2s, 2.3s/q)
2026-05-12 01:39:07,621 INFO root | progress: 95/1000 (218.7s, 2.3s/q)
2026-05-12 01:39:16,846 INFO root | progress: 100/1000 (228.0s, 2.3s/q)
2026/05/12 01:39:17 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 01:39:34,572 INFO root | progress: 105/1000 (245.7s, 2.3s/q)
2026/05/12 01:39:40 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 01:39:43,840 INFO root | progress: 110/1000 (255.0s, 2.3s/q)
2026-05-12 01:39:54,135 INFO root | progress: 115/1000 (265.3s, 2.3s/q)
2026-05-12 01:39:59,535 INFO root | progress: 120/1000 (270.7s, 2.3s/q)
2026-05-12 01:40:09,239 INFO root | progress: 125/1000 (280.4s, 2.2s/q)
2026-05-12 01:40:18,428 INFO root | progress: 130/1000 (289.6s, 2.2s/q)
2026-05-12 01:40:31,303 INFO root | progress: 135/1000 (302.4s, 2.2s/q)
2026-05-12 01:40:39,722 INFO root | progress: 140/1000 (310.9s, 2.2s/q)
