Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 04:03:30,288 INFO root | progress: 5/125 (10.9s, 2.2s/q)
2026-05-12 04:03:57,876 INFO root | progress: 10/125 (38.5s, 3.9s/q)
2026-05-12 04:04:01,984 INFO root | progress: 15/125 (42.6s, 2.8s/q)
2026-05-12 04:04:04,187 INFO root | progress: 20/125 (44.8s, 2.2s/q)
2026-05-12 04:04:09,500 INFO root | progress: 25/125 (50.2s, 2.0s/q)
2026-05-12 04:04:12,060 INFO root | progress: 30/125 (52.7s, 1.8s/q)
2026-05-12 04:04:35,012 INFO root | progress: 35/125 (75.7s, 2.2s/q)
2026-05-12 04:04:42,422 INFO root | progress: 40/125 (83.1s, 2.1s/q)
2026-05-12 04:04:46,464 INFO root | progress: 45/125 (87.1s, 1.9s/q)
2026-05-12 04:04:51,511 INFO root | progress: 50/125 (92.2s, 1.8s/q)
2026-05-12 04:04:57,730 INFO root | progress: 55/125 (98.4s, 1.8s/q)
2026-05-12 04:05:05,452 INFO root | progress: 60/125 (106.1s, 1.8s/q)
2026-05-12 04:05:19,377 INFO root | progress: 65/125 (120.0s, 1.8s/q)
2026-05-12 04:05:29,399 INFO root | progress: 70/125 (130.1s, 1.9s/q)
2026-05-12 04:05:33,980 INFO root | progress: 75/125 (134.6s, 1.8s/q)
2026-05-12 04:05:47,390 INFO root | progress: 80/125 (148.1s, 1.9s/q)
2026-05-12 04:05:52,864 INFO root | progress: 85/125 (153.5s, 1.8s/q)
2026-05-12 04:06:02,252 INFO root | progress: 90/125 (162.9s, 1.8s/q)
2026-05-12 04:06:11,547 INFO root | progress: 95/125 (172.2s, 1.8s/q)
2026-05-12 04:06:21,898 INFO root | progress: 100/125 (182.6s, 1.8s/q)
2026-05-12 04:06:28,605 INFO root | progress: 105/125 (189.3s, 1.8s/q)
2026-05-12 04:06:35,321 INFO root | progress: 110/125 (196.0s, 1.8s/q)
2026-05-12 04:06:47,685 INFO root | progress: 115/125 (208.3s, 1.8s/q)
2026-05-12 04:06:54,107 INFO root | progress: 120/125 (214.8s, 1.8s/q)
2026-05-12 04:07:10,245 INFO root | progress: 125/125 (230.9s, 1.8s/q)
2026-05-12 04:07:10,246 INFO root | done: 125 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_final_20260512_0221/bamboogle/predictions.jsonl
