Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 07:09:09,092 INFO root | progress: 5/1000 (34.9s, 7.0s/q)
2026-05-12 07:09:22,901 INFO root | progress: 10/1000 (48.8s, 4.9s/q)
2026-05-12 07:09:28,556 INFO root | progress: 15/1000 (54.4s, 3.6s/q)
2026-05-12 07:09:31,199 INFO root | progress: 20/1000 (57.0s, 2.9s/q)
2026-05-12 07:09:38,892 INFO root | progress: 25/1000 (64.7s, 2.6s/q)
2026-05-12 07:09:49,815 INFO root | progress: 30/1000 (75.7s, 2.5s/q)
2026-05-12 07:10:04,645 INFO root | progress: 35/1000 (90.5s, 2.6s/q)
2026/05/12 07:10:09 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 07:10:14,854 INFO root | progress: 40/1000 (100.7s, 2.5s/q)
2026-05-12 07:10:19,893 INFO root | progress: 45/1000 (105.7s, 2.3s/q)
2026-05-12 07:10:22,505 INFO root | progress: 50/1000 (108.4s, 2.2s/q)
2026-05-12 07:10:28,921 INFO root | progress: 55/1000 (114.8s, 2.1s/q)
2026-05-12 07:10:51,726 INFO root | progress: 60/1000 (137.6s, 2.3s/q)
2026-05-12 07:11:00,421 INFO root | progress: 65/1000 (146.3s, 2.3s/q)
2026-05-12 07:11:04,853 INFO root | progress: 70/1000 (150.7s, 2.2s/q)
2026-05-12 07:11:09,347 INFO root | progress: 75/1000 (155.2s, 2.1s/q)
2026-05-12 07:11:13,765 INFO root | progress: 80/1000 (159.6s, 2.0s/q)
2026-05-12 07:11:34,852 INFO root | progress: 85/1000 (180.7s, 2.1s/q)
2026-05-12 07:11:44,640 INFO root | progress: 90/1000 (190.5s, 2.1s/q)
