Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:20:51,413 INFO root | progress: 5/1000 (35.3s, 7.1s/q)
2026-05-12 10:20:55,665 INFO root | progress: 10/1000 (39.5s, 4.0s/q)
2026-05-12 10:21:01,432 INFO root | progress: 15/1000 (45.3s, 3.0s/q)
2026-05-12 10:21:04,070 INFO root | progress: 20/1000 (47.9s, 2.4s/q)
2026-05-12 10:21:14,992 INFO root | progress: 25/1000 (58.8s, 2.4s/q)
2026-05-12 10:21:29,068 INFO root | progress: 30/1000 (72.9s, 2.4s/q)
2026-05-12 10:21:41,453 INFO root | progress: 35/1000 (85.3s, 2.4s/q)
2026-05-12 10:21:53,026 INFO root | progress: 40/1000 (96.9s, 2.4s/q)
2026-05-12 10:21:58,420 INFO root | progress: 45/1000 (102.3s, 2.3s/q)
2026-05-12 10:22:09,759 INFO root | progress: 50/1000 (113.6s, 2.3s/q)
2026-05-12 10:22:17,957 INFO root | progress: 55/1000 (121.8s, 2.2s/q)
2026-05-12 10:22:27,795 INFO root | progress: 60/1000 (131.6s, 2.2s/q)
2026-05-12 10:22:41,430 INFO root | progress: 65/1000 (145.3s, 2.2s/q)
2026-05-12 10:22:52,268 INFO root | progress: 70/1000 (156.1s, 2.2s/q)
2026-05-12 10:23:05,905 INFO root | progress: 75/1000 (169.7s, 2.3s/q)
2026-05-12 10:23:14,517 INFO root | progress: 80/1000 (178.4s, 2.2s/q)
2026-05-12 10:23:19,982 INFO root | progress: 85/1000 (183.8s, 2.2s/q)
2026-05-12 10:23:29,786 INFO root | progress: 90/1000 (193.6s, 2.2s/q)
2026-05-12 10:23:41,704 INFO root | progress: 95/1000 (205.5s, 2.2s/q)
2026-05-12 10:23:58,603 INFO root | progress: 100/1000 (222.4s, 2.2s/q)
2026-05-12 10:24:02,817 INFO root | progress: 105/1000 (226.7s, 2.2s/q)
2026-05-12 10:24:19,356 INFO root | progress: 110/1000 (243.2s, 2.2s/q)
2026-05-12 10:24:29,943 INFO root | progress: 115/1000 (253.8s, 2.2s/q)
2026-05-12 10:24:33,575 INFO root | progress: 120/1000 (257.4s, 2.1s/q)
2026-05-12 10:24:40,258 INFO root | progress: 125/1000 (264.1s, 2.1s/q)
2026-05-12 10:24:52,355 INFO root | progress: 130/1000 (276.2s, 2.1s/q)
2026-05-12 10:25:09,393 INFO root | progress: 135/1000 (293.2s, 2.2s/q)
2026-05-12 10:25:14,419 INFO root | progress: 140/1000 (298.3s, 2.1s/q)
2026-05-12 10:25:16,408 INFO root | progress: 145/1000 (300.3s, 2.1s/q)
2026-05-12 10:25:30,954 INFO root | progress: 150/1000 (314.8s, 2.1s/q)
2026-05-12 10:25:49,322 INFO root | progress: 155/1000 (333.2s, 2.1s/q)
2026-05-12 10:25:52,372 INFO root | progress: 160/1000 (336.2s, 2.1s/q)
2026-05-12 10:26:04,956 INFO root | progress: 165/1000 (348.8s, 2.1s/q)
2026-05-12 10:26:11,607 INFO root | progress: 170/1000 (355.5s, 2.1s/q)
2026-05-12 10:26:23,571 INFO root | progress: 175/1000 (367.4s, 2.1s/q)
2026-05-12 10:26:31,686 INFO root | progress: 180/1000 (375.5s, 2.1s/q)
2026-05-12 10:26:38,942 INFO root | progress: 185/1000 (382.8s, 2.1s/q)
2026-05-12 10:26:50,067 INFO root | progress: 190/1000 (393.9s, 2.1s/q)
2026-05-12 10:27:00,336 INFO root | progress: 195/1000 (404.2s, 2.1s/q)
2026-05-12 10:27:10,351 INFO root | progress: 200/1000 (414.2s, 2.1s/q)
2026-05-12 10:27:20,074 INFO root | progress: 205/1000 (423.9s, 2.1s/q)
2026-05-12 10:27:25,604 INFO root | progress: 210/1000 (429.4s, 2.0s/q)
2026-05-12 10:27:35,063 INFO root | progress: 215/1000 (438.9s, 2.0s/q)
2026-05-12 10:27:53,275 INFO root | progress: 220/1000 (457.1s, 2.1s/q)
2026-05-12 10:28:02,772 INFO root | progress: 225/1000 (466.6s, 2.1s/q)
2026-05-12 10:28:08,646 INFO root | progress: 230/1000 (472.5s, 2.1s/q)
2026-05-12 10:28:14,723 INFO root | progress: 235/1000 (478.6s, 2.0s/q)
2026-05-12 10:28:23,012 INFO root | progress: 240/1000 (486.9s, 2.0s/q)
2026-05-12 10:28:36,759 INFO root | progress: 245/1000 (500.6s, 2.0s/q)
2026-05-12 10:28:47,711 INFO root | progress: 250/1000 (511.6s, 2.0s/q)
2026-05-12 10:28:50,794 INFO root | progress: 255/1000 (514.6s, 2.0s/q)
2026-05-12 10:28:59,294 INFO root | progress: 260/1000 (523.1s, 2.0s/q)
2026-05-12 10:29:07,654 INFO root | progress: 265/1000 (531.5s, 2.0s/q)
2026-05-12 10:29:21,099 INFO root | progress: 270/1000 (544.9s, 2.0s/q)
2026-05-12 10:29:35,467 INFO root | progress: 275/1000 (559.3s, 2.0s/q)
2026-05-12 10:29:46,233 INFO root | progress: 280/1000 (570.1s, 2.0s/q)
2026-05-12 10:29:51,248 INFO root | progress: 285/1000 (575.1s, 2.0s/q)
2026-05-12 10:29:57,071 INFO root | progress: 290/1000 (580.9s, 2.0s/q)
2026-05-12 10:30:04,825 INFO root | progress: 295/1000 (588.7s, 2.0s/q)
2026-05-12 10:30:15,398 INFO root | progress: 300/1000 (599.2s, 2.0s/q)
2026-05-12 10:30:27,750 INFO root | progress: 305/1000 (611.6s, 2.0s/q)
2026-05-12 10:30:38,999 INFO root | progress: 310/1000 (622.8s, 2.0s/q)
2026-05-12 10:30:48,628 INFO root | progress: 315/1000 (632.5s, 2.0s/q)
2026-05-12 10:30:56,360 INFO root | progress: 320/1000 (640.2s, 2.0s/q)
2026-05-12 10:31:03,092 INFO root | progress: 325/1000 (646.9s, 2.0s/q)
2026-05-12 10:31:11,560 INFO root | progress: 330/1000 (655.4s, 2.0s/q)
2026-05-12 10:31:25,453 INFO root | progress: 335/1000 (669.3s, 2.0s/q)
2026-05-12 10:31:31,031 INFO root | progress: 340/1000 (674.9s, 2.0s/q)
2026-05-12 10:31:42,193 INFO root | progress: 345/1000 (686.0s, 2.0s/q)
2026-05-12 10:31:47,437 INFO root | progress: 350/1000 (691.3s, 2.0s/q)
2026-05-12 10:32:02,039 INFO root | progress: 355/1000 (705.9s, 2.0s/q)
2026-05-12 10:32:11,231 INFO root | progress: 360/1000 (715.1s, 2.0s/q)
2026-05-12 10:32:17,091 INFO root | progress: 365/1000 (720.9s, 2.0s/q)
2026-05-12 10:32:24,526 INFO root | progress: 370/1000 (728.4s, 2.0s/q)
