Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 09:50:18,518 INFO root | progress: 5/100 (11.7s, 2.3s/q)
2026-05-12 09:50:58,659 INFO root | progress: 10/100 (51.8s, 5.2s/q)
2026-05-12 09:51:02,380 INFO root | progress: 15/100 (55.5s, 3.7s/q)
2026-05-12 09:51:07,543 INFO root | progress: 20/100 (60.7s, 3.0s/q)
2026-05-12 09:51:15,480 INFO root | progress: 25/100 (68.6s, 2.7s/q)
2026-05-12 09:51:26,494 INFO root | progress: 30/100 (79.6s, 2.7s/q)
2026-05-12 09:51:41,155 INFO root | progress: 35/100 (94.3s, 2.7s/q)
2026-05-12 09:51:48,461 INFO root | progress: 40/100 (101.6s, 2.5s/q)
2026-05-12 09:51:58,715 INFO root | progress: 45/100 (111.9s, 2.5s/q)
2026/05/12 09:52:01 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 09:52:08,278 INFO root | progress: 50/100 (121.4s, 2.4s/q)
2026-05-12 09:52:20,352 INFO root | progress: 55/100 (133.5s, 2.4s/q)
2026-05-12 09:52:30,905 INFO root | progress: 60/100 (144.0s, 2.4s/q)
2026-05-12 09:52:36,177 INFO root | progress: 65/100 (149.3s, 2.3s/q)
2026-05-12 09:52:44,054 INFO root | progress: 70/100 (157.2s, 2.2s/q)
2026-05-12 09:52:51,209 INFO root | progress: 75/100 (164.3s, 2.2s/q)
2026-05-12 09:53:01,957 INFO root | progress: 80/100 (175.1s, 2.2s/q)
2026-05-12 09:53:10,179 INFO root | progress: 85/100 (183.3s, 2.2s/q)
2026-05-12 09:53:20,473 INFO root | progress: 90/100 (193.6s, 2.2s/q)
2026-05-12 09:53:25,116 INFO root | progress: 95/100 (198.3s, 2.1s/q)
2026-05-12 09:53:29,683 INFO root | progress: 100/100 (202.8s, 2.0s/q)
2026-05-12 09:53:29,683 INFO root | done: 100 predictions written to results/amas_pro/orch_smoke100_cot/hotpot/predictions.jsonl
