Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:13:27,644 INFO root | progress: 5/100 (12.1s, 2.4s/q)
2026-05-12 10:13:54,982 INFO root | progress: 10/100 (39.4s, 3.9s/q)
2026-05-12 10:13:59,757 INFO root | progress: 15/100 (44.2s, 2.9s/q)
2026-05-12 10:14:03,699 INFO root | progress: 20/100 (48.2s, 2.4s/q)
2026-05-12 10:14:08,728 INFO root | progress: 25/100 (53.2s, 2.1s/q)
2026-05-12 10:14:14,304 INFO root | progress: 30/100 (58.8s, 2.0s/q)
2026-05-12 10:14:29,818 INFO root | progress: 35/100 (74.3s, 2.1s/q)
2026-05-12 10:14:35,312 INFO root | progress: 40/100 (79.8s, 2.0s/q)
2026/05/12 10:14:36 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 10:14:44,434 INFO root | progress: 45/100 (88.9s, 2.0s/q)
2026-05-12 10:14:46,977 INFO root | progress: 50/100 (91.4s, 1.8s/q)
2026-05-12 10:14:51,620 INFO root | progress: 55/100 (96.1s, 1.7s/q)
2026-05-12 10:15:07,651 INFO root | progress: 60/100 (112.1s, 1.9s/q)
2026-05-12 10:15:16,957 INFO root | progress: 65/100 (121.4s, 1.9s/q)
2026-05-12 10:15:21,464 INFO root | progress: 70/100 (125.9s, 1.8s/q)
2026-05-12 10:15:26,998 INFO root | progress: 75/100 (131.5s, 1.8s/q)
2026-05-12 10:15:33,047 INFO root | progress: 80/100 (137.5s, 1.7s/q)
2026-05-12 10:15:48,914 INFO root | progress: 85/100 (153.4s, 1.8s/q)
2026-05-12 10:15:54,198 INFO root | progress: 90/100 (158.7s, 1.8s/q)
2026-05-12 10:15:59,415 INFO root | progress: 95/100 (163.9s, 1.7s/q)
2026-05-12 10:16:07,308 INFO root | progress: 100/100 (171.8s, 1.7s/q)
2026-05-12 10:16:07,308 INFO root | done: 100 predictions written to results/amas_pro/orch_smoke100_nothink_verif/hotpot/predictions.jsonl
