Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 09:57:20,162 INFO root | progress: 5/100 (47.2s, 9.4s/q)
2026-05-12 09:57:27,825 INFO root | progress: 10/100 (54.9s, 5.5s/q)
2026-05-12 09:57:43,360 INFO root | progress: 15/100 (70.4s, 4.7s/q)
2026-05-12 09:57:52,027 INFO root | progress: 20/100 (79.1s, 4.0s/q)
2026-05-12 09:58:02,870 INFO root | progress: 25/100 (89.9s, 3.6s/q)
2026-05-12 09:58:13,863 INFO root | progress: 30/100 (100.9s, 3.4s/q)
2026-05-12 09:58:20,917 INFO root | progress: 35/100 (108.0s, 3.1s/q)
2026/05/12 09:58:24 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 09:58:37,446 INFO root | progress: 40/100 (124.5s, 3.1s/q)
2026-05-12 09:58:50,175 INFO root | progress: 45/100 (137.3s, 3.1s/q)
2026-05-12 09:58:56,624 INFO root | progress: 50/100 (143.7s, 2.9s/q)
2026-05-12 09:59:08,393 INFO root | progress: 55/100 (155.5s, 2.8s/q)
2026-05-12 09:59:20,577 INFO root | progress: 60/100 (167.7s, 2.8s/q)
2026-05-12 09:59:34,867 INFO root | progress: 65/100 (181.9s, 2.8s/q)
2026-05-12 09:59:42,242 INFO root | progress: 70/100 (189.3s, 2.7s/q)
2026-05-12 09:59:47,772 INFO root | progress: 75/100 (194.8s, 2.6s/q)
2026-05-12 09:59:53,368 INFO root | progress: 80/100 (200.4s, 2.5s/q)
2026-05-12 10:00:13,759 INFO root | progress: 85/100 (220.8s, 2.6s/q)
2026-05-12 10:00:19,691 INFO root | progress: 90/100 (226.8s, 2.5s/q)
2026-05-12 10:00:22,014 INFO root | progress: 95/100 (229.1s, 2.4s/q)
2026-05-12 10:00:47,703 INFO root | progress: 100/100 (254.8s, 2.5s/q)
2026-05-12 10:00:47,703 INFO root | done: 100 predictions written to results/amas_pro/orch_smoke100_think/hotpot/predictions.jsonl
