Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 10:02:13,275 INFO root | progress: 5/100 (38.9s, 7.8s/q)
2026-05-12 10:02:18,947 INFO root | progress: 10/100 (44.6s, 4.5s/q)
2026-05-12 10:02:31,080 INFO root | progress: 15/100 (56.7s, 3.8s/q)
2026-05-12 10:02:39,771 INFO root | progress: 20/100 (65.4s, 3.3s/q)
2026-05-12 10:02:50,274 INFO root | progress: 25/100 (75.9s, 3.0s/q)
2026-05-12 10:02:55,542 INFO root | progress: 30/100 (81.2s, 2.7s/q)
2026/05/12 10:03:04 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=640. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 10:03:06,551 INFO root | progress: 35/100 (92.2s, 2.6s/q)
2026-05-12 10:03:18,392 INFO root | progress: 40/100 (104.0s, 2.6s/q)
2026-05-12 10:03:25,046 INFO root | progress: 45/100 (110.7s, 2.5s/q)
2026-05-12 10:03:30,012 INFO root | progress: 50/100 (115.6s, 2.3s/q)
2026-05-12 10:03:37,288 INFO root | progress: 55/100 (122.9s, 2.2s/q)
2026-05-12 10:03:51,727 INFO root | progress: 60/100 (137.3s, 2.3s/q)
2026-05-12 10:04:00,894 INFO root | progress: 65/100 (146.5s, 2.3s/q)
2026-05-12 10:04:06,346 INFO root | progress: 70/100 (152.0s, 2.2s/q)
2026-05-12 10:04:11,877 INFO root | progress: 75/100 (157.5s, 2.1s/q)
2026-05-12 10:04:17,667 INFO root | progress: 80/100 (163.3s, 2.0s/q)
2026-05-12 10:04:31,798 INFO root | progress: 85/100 (177.4s, 2.1s/q)
2026-05-12 10:04:42,367 INFO root | progress: 90/100 (188.0s, 2.1s/q)
2026-05-12 10:04:45,719 INFO root | progress: 95/100 (191.3s, 2.0s/q)
2026-05-12 10:05:09,410 INFO root | progress: 100/100 (215.0s, 2.2s/q)
2026-05-12 10:05:09,410 INFO root | done: 100 predictions written to results/amas_pro/orch_smoke100_think_verif/hotpot/predictions.jsonl
