Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 11:59:40,024 INFO root | progress: 5/1000 (36.8s, 7.4s/q)
2026-05-12 11:59:41,604 INFO root | progress: 10/1000 (38.3s, 3.8s/q)
2026-05-12 11:59:45,619 INFO root | progress: 15/1000 (42.4s, 2.8s/q)
2026-05-12 11:59:54,180 INFO root | progress: 20/1000 (50.9s, 2.5s/q)
2026-05-12 12:00:07,213 INFO root | progress: 25/1000 (64.0s, 2.6s/q)
2026-05-12 12:00:18,310 INFO root | progress: 30/1000 (75.1s, 2.5s/q)
2026-05-12 12:00:36,380 INFO root | progress: 35/1000 (93.1s, 2.7s/q)
2026-05-12 12:00:43,485 INFO root | progress: 40/1000 (100.2s, 2.5s/q)
2026-05-12 12:00:53,613 INFO root | progress: 45/1000 (110.4s, 2.5s/q)
2026-05-12 12:01:00,799 INFO root | progress: 50/1000 (117.5s, 2.4s/q)
2026-05-12 12:01:09,574 INFO root | progress: 55/1000 (126.3s, 2.3s/q)
2026-05-12 12:01:15,111 INFO root | progress: 60/1000 (131.9s, 2.2s/q)
2026-05-12 12:01:28,214 INFO root | progress: 65/1000 (145.0s, 2.2s/q)
2026-05-12 12:01:39,920 INFO root | progress: 70/1000 (156.7s, 2.2s/q)
2026-05-12 12:01:57,995 INFO root | progress: 75/1000 (174.7s, 2.3s/q)
2026-05-12 12:02:06,582 INFO root | progress: 80/1000 (183.3s, 2.3s/q)
2026-05-12 12:02:14,470 INFO root | progress: 85/1000 (191.2s, 2.2s/q)
2026-05-12 12:02:20,106 INFO root | progress: 90/1000 (196.8s, 2.2s/q)
2026-05-12 12:02:32,224 INFO root | progress: 95/1000 (209.0s, 2.2s/q)
2026-05-12 12:02:51,754 INFO root | progress: 100/1000 (228.5s, 2.3s/q)
2026-05-12 12:03:01,380 INFO root | progress: 105/1000 (238.1s, 2.3s/q)
2026-05-12 12:03:05,534 INFO root | progress: 110/1000 (242.3s, 2.2s/q)
2026-05-12 12:03:17,763 INFO root | progress: 115/1000 (254.5s, 2.2s/q)
2026-05-12 12:03:25,996 INFO root | progress: 120/1000 (262.7s, 2.2s/q)
2026-05-12 12:03:35,408 INFO root | progress: 125/1000 (272.1s, 2.2s/q)
2026-05-12 12:03:45,065 INFO root | progress: 130/1000 (281.8s, 2.2s/q)
2026-05-12 12:03:59,748 INFO root | progress: 135/1000 (296.5s, 2.2s/q)
2026-05-12 12:04:09,631 INFO root | progress: 140/1000 (306.4s, 2.2s/q)
2026-05-12 12:04:12,753 INFO root | progress: 145/1000 (309.5s, 2.1s/q)
2026-05-12 12:04:29,267 INFO root | progress: 150/1000 (326.0s, 2.2s/q)
2026-05-12 12:04:36,982 INFO root | progress: 155/1000 (333.7s, 2.2s/q)
2026-05-12 12:04:46,082 INFO root | progress: 160/1000 (342.8s, 2.1s/q)
2026-05-12 12:04:57,820 INFO root | progress: 165/1000 (354.6s, 2.1s/q)
2026-05-12 12:05:11,626 INFO root | progress: 170/1000 (368.4s, 2.2s/q)
2026-05-12 12:05:18,202 INFO root | progress: 175/1000 (374.9s, 2.1s/q)
2026-05-12 12:05:21,826 INFO root | progress: 180/1000 (378.6s, 2.1s/q)
2026-05-12 12:05:31,117 INFO root | progress: 185/1000 (387.9s, 2.1s/q)
2026-05-12 12:05:53,159 INFO root | progress: 190/1000 (409.9s, 2.2s/q)
2026-05-12 12:05:58,749 INFO root | progress: 195/1000 (415.5s, 2.1s/q)
2026-05-12 12:06:03,908 INFO root | progress: 200/1000 (420.6s, 2.1s/q)
2026-05-12 12:06:16,253 INFO root | progress: 205/1000 (433.0s, 2.1s/q)
2026-05-12 12:06:24,295 INFO root | progress: 210/1000 (441.0s, 2.1s/q)
2026-05-12 12:06:41,774 INFO root | progress: 215/1000 (458.5s, 2.1s/q)
2026-05-12 12:06:55,338 INFO root | progress: 220/1000 (472.1s, 2.1s/q)
2026-05-12 12:07:04,835 INFO root | progress: 225/1000 (481.6s, 2.1s/q)
2026-05-12 12:07:06,589 INFO root | progress: 230/1000 (483.3s, 2.1s/q)
2026-05-12 12:07:11,810 INFO root | progress: 235/1000 (488.6s, 2.1s/q)
2026-05-12 12:07:24,178 INFO root | progress: 240/1000 (500.9s, 2.1s/q)
2026-05-12 12:07:43,787 INFO root | progress: 245/1000 (520.5s, 2.1s/q)
2026-05-12 12:07:47,053 INFO root | progress: 250/1000 (523.8s, 2.1s/q)
2026-05-12 12:07:53,861 INFO root | progress: 255/1000 (530.6s, 2.1s/q)
2026-05-12 12:07:59,997 INFO root | progress: 260/1000 (536.7s, 2.1s/q)
