Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 13:31:40,609 INFO root | progress: 5/125 (11.4s, 2.3s/q)
2026-05-12 13:32:07,670 INFO root | progress: 10/125 (38.5s, 3.8s/q)
2026-05-12 13:32:09,154 INFO root | progress: 15/125 (40.0s, 2.7s/q)
2026-05-12 13:32:10,682 INFO root | progress: 20/125 (41.5s, 2.1s/q)
2026-05-12 13:32:15,565 INFO root | progress: 25/125 (46.4s, 1.9s/q)
2026-05-12 13:32:24,282 INFO root | progress: 30/125 (55.1s, 1.8s/q)
2026-05-12 13:32:41,568 INFO root | progress: 35/125 (72.4s, 2.1s/q)
2026-05-12 13:32:43,462 INFO root | progress: 40/125 (74.3s, 1.9s/q)
2026-05-12 13:32:48,279 INFO root | progress: 45/125 (79.1s, 1.8s/q)
2026-05-12 13:32:54,553 INFO root | progress: 50/125 (85.4s, 1.7s/q)
2026-05-12 13:32:59,042 INFO root | progress: 55/125 (89.9s, 1.6s/q)
2026-05-12 13:33:15,449 INFO root | progress: 60/125 (106.3s, 1.8s/q)
2026-05-12 13:33:19,878 INFO root | progress: 65/125 (110.7s, 1.7s/q)
2026-05-12 13:33:23,857 INFO root | progress: 70/125 (114.7s, 1.6s/q)
2026-05-12 13:33:31,844 INFO root | progress: 75/125 (122.7s, 1.6s/q)
2026-05-12 13:33:37,176 INFO root | progress: 80/125 (128.0s, 1.6s/q)
2026-05-12 13:33:53,571 INFO root | progress: 85/125 (144.4s, 1.7s/q)
2026-05-12 13:33:55,560 INFO root | progress: 90/125 (146.4s, 1.6s/q)
2026-05-12 13:34:02,487 INFO root | progress: 95/125 (153.3s, 1.6s/q)
2026-05-12 13:34:09,738 INFO root | progress: 100/125 (160.5s, 1.6s/q)
2026-05-12 13:34:15,744 INFO root | progress: 105/125 (166.6s, 1.6s/q)
2026-05-12 13:34:26,706 INFO root | progress: 110/125 (177.5s, 1.6s/q)
2026-05-12 13:34:34,053 INFO root | progress: 115/125 (184.9s, 1.6s/q)
2026-05-12 13:34:39,072 INFO root | progress: 120/125 (189.9s, 1.6s/q)
2026-05-12 13:34:49,466 INFO root | progress: 125/125 (200.3s, 1.6s/q)
2026-05-12 13:34:49,466 INFO root | done: 125 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_v10_1000q_20260512_1158/bamboogle/predictions.jsonl
