Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 12:32:35,473 INFO root | progress: 5/1000 (7.4s, 1.5s/q)
2026-05-12 12:33:09,592 INFO root | progress: 10/1000 (41.5s, 4.2s/q)
2026-05-12 12:33:11,901 INFO root | progress: 15/1000 (43.8s, 2.9s/q)
2026-05-12 12:33:15,409 INFO root | progress: 20/1000 (47.4s, 2.4s/q)
2026-05-12 12:33:17,866 INFO root | progress: 25/1000 (49.8s, 2.0s/q)
2026-05-12 12:33:20,497 INFO root | progress: 30/1000 (52.4s, 1.7s/q)
2026-05-12 12:33:37,185 INFO root | progress: 35/1000 (69.1s, 2.0s/q)
2026-05-12 12:33:50,603 INFO root | progress: 40/1000 (82.5s, 2.1s/q)
2026-05-12 12:33:58,681 INFO root | progress: 45/1000 (90.6s, 2.0s/q)
2026-05-12 12:34:03,002 INFO root | progress: 50/1000 (94.9s, 1.9s/q)
2026-05-12 12:34:11,956 INFO root | progress: 55/1000 (103.9s, 1.9s/q)
2026-05-12 12:34:25,571 INFO root | progress: 60/1000 (117.5s, 2.0s/q)
2026-05-12 12:34:31,635 INFO root | progress: 65/1000 (123.6s, 1.9s/q)
2026-05-12 12:34:35,276 INFO root | progress: 70/1000 (127.2s, 1.8s/q)
2026-05-12 12:34:40,371 INFO root | progress: 75/1000 (132.3s, 1.8s/q)
2026-05-12 12:34:48,190 INFO root | progress: 80/1000 (140.1s, 1.8s/q)
2026-05-12 12:34:57,505 INFO root | progress: 85/1000 (149.4s, 1.8s/q)
2026-05-12 12:35:06,660 INFO root | progress: 90/1000 (158.6s, 1.8s/q)
2026-05-12 12:35:15,216 INFO root | progress: 95/1000 (167.2s, 1.8s/q)
2026-05-12 12:35:20,114 INFO root | progress: 100/1000 (172.1s, 1.7s/q)
2026-05-12 12:35:25,067 INFO root | progress: 105/1000 (177.0s, 1.7s/q)
2026-05-12 12:35:34,954 INFO root | progress: 110/1000 (186.9s, 1.7s/q)
2026-05-12 12:35:51,961 INFO root | progress: 115/1000 (203.9s, 1.8s/q)
2026-05-12 12:35:56,148 INFO root | progress: 120/1000 (208.1s, 1.7s/q)
2026-05-12 12:36:01,012 INFO root | progress: 125/1000 (213.0s, 1.7s/q)
2026-05-12 12:36:04,960 INFO root | progress: 130/1000 (216.9s, 1.7s/q)
2026-05-12 12:36:19,245 INFO root | progress: 135/1000 (231.2s, 1.7s/q)
2026-05-12 12:36:27,428 INFO root | progress: 140/1000 (239.4s, 1.7s/q)
2026-05-12 12:36:34,149 INFO root | progress: 145/1000 (246.1s, 1.7s/q)
2026-05-12 12:36:40,944 INFO root | progress: 150/1000 (252.9s, 1.7s/q)
2026-05-12 12:36:46,723 INFO root | progress: 155/1000 (258.7s, 1.7s/q)
2026-05-12 12:36:55,004 INFO root | progress: 160/1000 (266.9s, 1.7s/q)
2026-05-12 12:37:13,280 INFO root | progress: 165/1000 (285.2s, 1.7s/q)
2026-05-12 12:37:17,389 INFO root | progress: 170/1000 (289.3s, 1.7s/q)
2026-05-12 12:37:23,615 INFO root | progress: 175/1000 (295.6s, 1.7s/q)
2026-05-12 12:37:29,397 INFO root | progress: 180/1000 (301.3s, 1.7s/q)
2026-05-12 12:37:35,538 INFO root | progress: 185/1000 (307.5s, 1.7s/q)
2026-05-12 12:37:48,875 INFO root | progress: 190/1000 (320.8s, 1.7s/q)
2026-05-12 12:37:59,609 INFO root | progress: 195/1000 (331.6s, 1.7s/q)
2026-05-12 12:38:09,016 INFO root | progress: 200/1000 (341.0s, 1.7s/q)
2026-05-12 12:38:17,297 INFO root | progress: 205/1000 (349.2s, 1.7s/q)
2026-05-12 12:38:21,485 INFO root | progress: 210/1000 (353.4s, 1.7s/q)
2026-05-12 12:38:25,891 INFO root | progress: 215/1000 (357.8s, 1.7s/q)
2026-05-12 12:38:37,948 INFO root | progress: 220/1000 (369.9s, 1.7s/q)
2026-05-12 12:38:49,904 INFO root | progress: 225/1000 (381.8s, 1.7s/q)
2026-05-12 12:38:57,081 INFO root | progress: 230/1000 (389.0s, 1.7s/q)
2026-05-12 12:39:03,762 INFO root | progress: 235/1000 (395.7s, 1.7s/q)
2026-05-12 12:39:08,596 INFO root | progress: 240/1000 (400.5s, 1.7s/q)
2026-05-12 12:39:13,226 INFO root | progress: 245/1000 (405.2s, 1.7s/q)
2026-05-12 12:39:22,449 INFO root | progress: 250/1000 (414.4s, 1.7s/q)
2026-05-12 12:39:28,722 INFO root | progress: 255/1000 (420.7s, 1.6s/q)
2026-05-12 12:39:33,920 INFO root | progress: 260/1000 (425.9s, 1.6s/q)
2026-05-12 12:39:42,122 INFO root | progress: 265/1000 (434.1s, 1.6s/q)
2026-05-12 12:39:47,654 INFO root | progress: 270/1000 (439.6s, 1.6s/q)
2026-05-12 12:40:04,878 INFO root | progress: 275/1000 (456.8s, 1.7s/q)
2026-05-12 12:40:07,667 INFO root | progress: 280/1000 (459.6s, 1.6s/q)
2026-05-12 12:40:12,718 INFO root | progress: 285/1000 (464.7s, 1.6s/q)
2026-05-12 12:40:23,037 INFO root | progress: 290/1000 (475.0s, 1.6s/q)
2026-05-12 12:40:37,708 INFO root | progress: 295/1000 (489.7s, 1.7s/q)
2026-05-12 12:40:45,349 INFO root | progress: 300/1000 (497.3s, 1.7s/q)
2026-05-12 12:40:53,551 INFO root | progress: 305/1000 (505.5s, 1.7s/q)
2026-05-12 12:41:01,243 INFO root | progress: 310/1000 (513.2s, 1.7s/q)
2026-05-12 12:41:06,648 INFO root | progress: 315/1000 (518.6s, 1.6s/q)
2026-05-12 12:41:11,734 INFO root | progress: 320/1000 (523.7s, 1.6s/q)
2026-05-12 12:41:13,734 INFO root | progress: 325/1000 (525.7s, 1.6s/q)
2026-05-12 12:41:21,258 INFO root | progress: 330/1000 (533.2s, 1.6s/q)
2026-05-12 12:41:34,342 INFO root | progress: 335/1000 (546.3s, 1.6s/q)
2026-05-12 12:41:39,753 INFO root | progress: 340/1000 (551.7s, 1.6s/q)
2026-05-12 12:41:51,215 INFO root | progress: 345/1000 (563.2s, 1.6s/q)
2026-05-12 12:41:58,510 INFO root | progress: 350/1000 (570.5s, 1.6s/q)
2026-05-12 12:42:01,621 INFO root | progress: 355/1000 (573.6s, 1.6s/q)
2026-05-12 12:42:12,289 INFO root | progress: 360/1000 (584.2s, 1.6s/q)
2026-05-12 12:42:24,459 INFO root | progress: 365/1000 (596.4s, 1.6s/q)
2026-05-12 12:42:37,390 INFO root | progress: 370/1000 (609.3s, 1.6s/q)
2026-05-12 12:42:41,961 INFO root | progress: 375/1000 (613.9s, 1.6s/q)
2026-05-12 12:42:48,721 INFO root | progress: 380/1000 (620.7s, 1.6s/q)
2026-05-12 12:42:51,992 INFO root | progress: 385/1000 (623.9s, 1.6s/q)
2026-05-12 12:42:56,490 INFO root | progress: 390/1000 (628.4s, 1.6s/q)
2026-05-12 12:43:05,881 INFO root | progress: 395/1000 (637.8s, 1.6s/q)
