Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 12:59:40,597 INFO root | progress: 5/1000 (39.4s, 7.9s/q)
2026-05-12 12:59:43,856 INFO root | progress: 10/1000 (42.7s, 4.3s/q)
2026-05-12 12:59:50,661 INFO root | progress: 15/1000 (49.5s, 3.3s/q)
2026-05-12 12:59:59,529 INFO root | progress: 20/1000 (58.4s, 2.9s/q)
2026-05-12 13:00:15,541 INFO root | progress: 25/1000 (74.4s, 3.0s/q)
2026-05-12 13:00:20,255 INFO root | progress: 30/1000 (79.1s, 2.6s/q)
2026-05-12 13:00:36,014 INFO root | progress: 35/1000 (94.9s, 2.7s/q)
2026-05-12 13:00:41,868 INFO root | progress: 40/1000 (100.7s, 2.5s/q)
2026-05-12 13:00:51,785 INFO root | progress: 45/1000 (110.6s, 2.5s/q)
2026-05-12 13:01:03,927 INFO root | progress: 50/1000 (122.8s, 2.5s/q)
2026-05-12 13:01:14,415 INFO root | progress: 55/1000 (133.3s, 2.4s/q)
2026-05-12 13:01:27,152 INFO root | progress: 60/1000 (146.0s, 2.4s/q)
2026-05-12 13:01:35,970 INFO root | progress: 65/1000 (154.8s, 2.4s/q)
2026-05-12 13:01:46,791 INFO root | progress: 70/1000 (165.6s, 2.4s/q)
2026-05-12 13:01:56,498 INFO root | progress: 75/1000 (175.3s, 2.3s/q)
2026-05-12 13:02:01,474 INFO root | progress: 80/1000 (180.3s, 2.3s/q)
2026-05-12 13:02:12,372 INFO root | progress: 85/1000 (191.2s, 2.2s/q)
2026-05-12 13:02:25,873 INFO root | progress: 90/1000 (204.7s, 2.3s/q)
2026-05-12 13:02:31,802 INFO root | progress: 95/1000 (210.6s, 2.2s/q)
2026-05-12 13:02:39,906 INFO root | progress: 100/1000 (218.7s, 2.2s/q)
2026/05/12 13:02:40 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 13:02:54,193 INFO root | progress: 105/1000 (233.0s, 2.2s/q)
2026-05-12 13:03:02,711 INFO root | progress: 110/1000 (241.6s, 2.2s/q)
2026/05/12 13:03:07 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=768. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.0)  if the reason for truncation is repetition.
2026-05-12 13:03:09,122 INFO root | progress: 115/1000 (248.0s, 2.2s/q)
2026-05-12 13:03:19,993 INFO root | progress: 120/1000 (258.8s, 2.2s/q)
2026-05-12 13:03:30,199 INFO root | progress: 125/1000 (269.0s, 2.2s/q)
2026-05-12 13:03:37,253 INFO root | progress: 130/1000 (276.1s, 2.1s/q)
2026-05-12 13:03:42,762 INFO root | progress: 135/1000 (281.6s, 2.1s/q)
