Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 11:34:50,522 INFO root | progress: 5/200 (38.4s, 7.7s/q)
2026-05-12 11:34:52,053 INFO root | progress: 10/200 (40.0s, 4.0s/q)
2026-05-12 11:34:54,976 INFO root | progress: 15/200 (42.9s, 2.9s/q)
2026-05-12 11:35:00,164 INFO root | progress: 20/200 (48.1s, 2.4s/q)
2026-05-12 11:35:21,830 INFO root | progress: 25/200 (69.7s, 2.8s/q)
2026-05-12 11:35:28,708 INFO root | progress: 30/200 (76.6s, 2.6s/q)
2026-05-12 11:35:45,774 INFO root | progress: 35/200 (93.7s, 2.7s/q)
2026-05-12 11:35:54,249 INFO root | progress: 40/200 (102.2s, 2.6s/q)
2026-05-12 11:36:02,298 INFO root | progress: 45/200 (110.2s, 2.4s/q)
2026-05-12 11:36:09,835 INFO root | progress: 50/200 (117.7s, 2.4s/q)
2026-05-12 11:36:18,307 INFO root | progress: 55/200 (126.2s, 2.3s/q)
2026-05-12 11:36:25,386 INFO root | progress: 60/200 (133.3s, 2.2s/q)
2026-05-12 11:36:37,810 INFO root | progress: 65/200 (145.7s, 2.2s/q)
2026-05-12 11:36:50,157 INFO root | progress: 70/200 (158.1s, 2.3s/q)
2026-05-12 11:37:06,785 INFO root | progress: 75/200 (174.7s, 2.3s/q)
2026-05-12 11:37:14,274 INFO root | progress: 80/200 (182.2s, 2.3s/q)
2026-05-12 11:37:25,916 INFO root | progress: 85/200 (193.8s, 2.3s/q)
2026-05-12 11:37:31,954 INFO root | progress: 90/200 (199.9s, 2.2s/q)
2026-05-12 11:37:42,438 INFO root | progress: 95/200 (210.3s, 2.2s/q)
2026-05-12 11:38:01,514 INFO root | progress: 100/200 (229.4s, 2.3s/q)
2026-05-12 11:38:07,218 INFO root | progress: 105/200 (235.1s, 2.2s/q)
2026-05-12 11:38:17,432 INFO root | progress: 110/200 (245.3s, 2.2s/q)
2026-05-12 11:38:25,705 INFO root | progress: 115/200 (253.6s, 2.2s/q)
2026-05-12 11:38:36,686 INFO root | progress: 120/200 (264.6s, 2.2s/q)
2026-05-12 11:38:42,416 INFO root | progress: 125/200 (270.3s, 2.2s/q)
2026-05-12 11:38:52,570 INFO root | progress: 130/200 (280.5s, 2.2s/q)
2026-05-12 11:39:09,061 INFO root | progress: 135/200 (297.0s, 2.2s/q)
2026-05-12 11:39:17,903 INFO root | progress: 140/200 (305.8s, 2.2s/q)
2026-05-12 11:39:21,193 INFO root | progress: 145/200 (309.1s, 2.1s/q)
2026-05-12 11:39:37,279 INFO root | progress: 150/200 (325.2s, 2.2s/q)
2026-05-12 11:39:47,502 INFO root | progress: 155/200 (335.4s, 2.2s/q)
2026-05-12 11:39:58,601 INFO root | progress: 160/200 (346.5s, 2.2s/q)
2026-05-12 11:40:07,200 INFO root | progress: 165/200 (355.1s, 2.2s/q)
2026-05-12 11:40:17,628 INFO root | progress: 170/200 (365.5s, 2.2s/q)
2026-05-12 11:40:24,164 INFO root | progress: 175/200 (372.1s, 2.1s/q)
2026-05-12 11:40:33,017 INFO root | progress: 180/200 (380.9s, 2.1s/q)
2026-05-12 11:40:40,636 INFO root | progress: 185/200 (388.5s, 2.1s/q)
2026-05-12 11:41:01,180 INFO root | progress: 190/200 (409.1s, 2.2s/q)
2026-05-12 11:41:08,910 INFO root | progress: 195/200 (416.8s, 2.1s/q)
2026-05-12 11:41:24,911 INFO root | progress: 200/200 (432.8s, 2.2s/q)
2026-05-12 11:41:24,911 INFO root | done: 200 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_v10_pilot200_20260512_1134/2wiki/predictions.jsonl
