Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 11:54:43,088 INFO root | progress: 5/125 (11.7s, 2.3s/q)
2026-05-12 11:55:10,037 INFO root | progress: 10/125 (38.6s, 3.9s/q)
2026-05-12 11:55:11,033 INFO root | progress: 15/125 (39.6s, 2.6s/q)
2026-05-12 11:55:13,647 INFO root | progress: 20/125 (42.2s, 2.1s/q)
2026-05-12 11:55:18,076 INFO root | progress: 25/125 (46.7s, 1.9s/q)
2026-05-12 11:55:38,217 INFO root | progress: 30/125 (66.8s, 2.2s/q)
2026-05-12 11:55:45,009 INFO root | progress: 35/125 (73.6s, 2.1s/q)
2026-05-12 11:55:46,541 INFO root | progress: 40/125 (75.1s, 1.9s/q)
2026-05-12 11:55:50,341 INFO root | progress: 45/125 (78.9s, 1.8s/q)
2026-05-12 11:55:57,572 INFO root | progress: 50/125 (86.2s, 1.7s/q)
2026-05-12 11:56:06,635 INFO root | progress: 55/125 (95.2s, 1.7s/q)
2026-05-12 11:56:19,456 INFO root | progress: 60/125 (108.0s, 1.8s/q)
2026-05-12 11:56:22,469 INFO root | progress: 65/125 (111.0s, 1.7s/q)
2026-05-12 11:56:26,267 INFO root | progress: 70/125 (114.8s, 1.6s/q)
2026-05-12 11:56:33,964 INFO root | progress: 75/125 (122.5s, 1.6s/q)
2026-05-12 11:56:43,787 INFO root | progress: 80/125 (132.4s, 1.7s/q)
2026-05-12 11:56:56,723 INFO root | progress: 85/125 (145.3s, 1.7s/q)
2026-05-12 11:57:00,572 INFO root | progress: 90/125 (149.2s, 1.7s/q)
2026-05-12 11:57:04,512 INFO root | progress: 95/125 (153.1s, 1.6s/q)
2026-05-12 11:57:10,200 INFO root | progress: 100/125 (158.8s, 1.6s/q)
2026-05-12 11:57:19,521 INFO root | progress: 105/125 (168.1s, 1.6s/q)
2026-05-12 11:57:31,931 INFO root | progress: 110/125 (180.5s, 1.6s/q)
2026-05-12 11:57:37,141 INFO root | progress: 115/125 (185.7s, 1.6s/q)
2026-05-12 11:57:41,848 INFO root | progress: 120/125 (190.4s, 1.6s/q)
2026-05-12 11:57:53,698 INFO root | progress: 125/125 (202.3s, 1.6s/q)
2026-05-12 11:57:53,698 INFO root | done: 125 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_v10_pilot200_20260512_1134/bamboogle/predictions.jsonl
