Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 11:41:36,138 INFO root | progress: 5/200 (6.7s, 1.3s/q)
2026-05-12 11:42:09,966 INFO root | progress: 10/200 (40.5s, 4.0s/q)
2026-05-12 11:42:12,224 INFO root | progress: 15/200 (42.7s, 2.8s/q)
2026-05-12 11:42:14,845 INFO root | progress: 20/200 (45.4s, 2.3s/q)
2026-05-12 11:42:18,287 INFO root | progress: 25/200 (48.8s, 2.0s/q)
2026-05-12 11:42:20,834 INFO root | progress: 30/200 (51.4s, 1.7s/q)
2026-05-12 11:42:38,986 INFO root | progress: 35/200 (69.5s, 2.0s/q)
2026-05-12 11:42:51,496 INFO root | progress: 40/200 (82.0s, 2.1s/q)
2026-05-12 11:42:57,252 INFO root | progress: 45/200 (87.8s, 2.0s/q)
2026-05-12 11:43:00,467 INFO root | progress: 50/200 (91.0s, 1.8s/q)
2026-05-12 11:43:10,993 INFO root | progress: 55/200 (101.5s, 1.8s/q)
2026-05-12 11:43:25,441 INFO root | progress: 60/200 (116.0s, 1.9s/q)
2026-05-12 11:43:32,972 INFO root | progress: 65/200 (123.5s, 1.9s/q)
2026-05-12 11:43:36,690 INFO root | progress: 70/200 (127.2s, 1.8s/q)
2026-05-12 11:43:40,179 INFO root | progress: 75/200 (130.7s, 1.7s/q)
2026-05-12 11:43:44,315 INFO root | progress: 80/200 (134.8s, 1.7s/q)
2026-05-12 11:43:58,147 INFO root | progress: 85/200 (148.7s, 1.7s/q)
2026-05-12 11:44:08,530 INFO root | progress: 90/200 (159.1s, 1.8s/q)
2026-05-12 11:44:16,049 INFO root | progress: 95/200 (166.6s, 1.8s/q)
2026-05-12 11:44:20,786 INFO root | progress: 100/200 (171.3s, 1.7s/q)
2026-05-12 11:44:23,485 INFO root | progress: 105/200 (174.0s, 1.7s/q)
2026-05-12 11:44:33,808 INFO root | progress: 110/200 (184.3s, 1.7s/q)
2026-05-12 11:44:54,851 INFO root | progress: 115/200 (205.4s, 1.8s/q)
2026-05-12 11:44:59,454 INFO root | progress: 120/200 (210.0s, 1.7s/q)
2026-05-12 11:45:03,405 INFO root | progress: 125/200 (213.9s, 1.7s/q)
2026-05-12 11:45:07,578 INFO root | progress: 130/200 (218.1s, 1.7s/q)
2026-05-12 11:45:16,239 INFO root | progress: 135/200 (226.8s, 1.7s/q)
2026-05-12 11:45:27,176 INFO root | progress: 140/200 (237.7s, 1.7s/q)
2026-05-12 11:45:34,988 INFO root | progress: 145/200 (245.5s, 1.7s/q)
2026-05-12 11:45:46,824 INFO root | progress: 150/200 (257.3s, 1.7s/q)
2026-05-12 11:45:49,956 INFO root | progress: 155/200 (260.5s, 1.7s/q)
2026-05-12 11:45:55,812 INFO root | progress: 160/200 (266.3s, 1.7s/q)
2026-05-12 11:46:11,858 INFO root | progress: 165/200 (282.4s, 1.7s/q)
2026-05-12 11:46:16,566 INFO root | progress: 170/200 (287.1s, 1.7s/q)
2026-05-12 11:46:26,343 INFO root | progress: 175/200 (296.9s, 1.7s/q)
2026-05-12 11:46:32,583 INFO root | progress: 180/200 (303.1s, 1.7s/q)
2026-05-12 11:46:36,008 INFO root | progress: 185/200 (306.5s, 1.7s/q)
2026-05-12 11:46:52,323 INFO root | progress: 190/200 (322.8s, 1.7s/q)
2026-05-12 11:47:03,842 INFO root | progress: 195/200 (334.4s, 1.7s/q)
2026-05-12 11:47:21,320 INFO root | progress: 200/200 (351.8s, 1.8s/q)
2026-05-12 11:47:21,320 INFO root | done: 200 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_v10_pilot200_20260512_1134/hotpot/predictions.jsonl
